"Date of Sale (dd/mm/yyyy)","Address","Postal Code","County","Price (€)","Not Full Market Price","Description of Property","Property Size Description"
"04/01/2010","15a Moore Bay, Kilkee","","Clare","€126,500.00","No","Second-Hand Dwelling house /Apartment",""
"05/01/2010","24 Garran Na Coille, Claureen, Co Clare","","Clare","€390,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"07/01/2010","16 Abeyvill, Clare Road, Ennis","","Clare","€245,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/01/2010","5 Shallee Drive, Cloughleigh, Ennis","","Clare","€105,000.00","No","Second-Hand Dwelling house /Apartment",""
"08/01/2010","The Cottage, Shantraud, Killaloe","","Clare","€222,400.00","No","Second-Hand Dwelling house /Apartment",""
"11/01/2010","26 Lissaniska, Lahinch Road, Ennis","","Clare","€150,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/01/2010","3 CASTLEFIELDS, KILKEE","","Clare","€400,000.00","No","Second-Hand Dwelling house /Apartment",""
"12/01/2010","Raenagisheach, Kilmaley","","Clare","€22,500.00","No","Second-Hand Dwelling house /Apartment",""
"13/01/2010","L226 Bru na Sionna, Shannon","","Clare","€99,391.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"15/01/2010","1 Stone Court, Ennis Rd, Newmarket on Fergus","","Clare","€166,000.00","No","Second-Hand Dwelling house /Apartment",""
"15/01/2010","Fahee South, Carran","","Clare","€120,000.00","No","Second-Hand Dwelling house /Apartment",""
"18/01/2010","51 Moyard, Shanballa, Lahinch road  Ennis","","Clare","€220,264.31","No","New Dwelling house /Apartment","greater than 125 sq metres"
"19/01/2010","66 Woodlands, Cahercalla, Kilrush Road  Ennis","","Clare","€220,000.00","No","Second-Hand Dwelling house /Apartment",""
"22/01/2010","12 Aisling, Shanaway Road, Ennis","","Clare","€134,075.00","No","New Dwelling house /Apartment","less than 38 sq metres"
"22/01/2010","5 French Park, Ennis","","Clare","€295,000.00","No","Second-Hand Dwelling house /Apartment",""
"22/01/2010","Cottage 3, Criscean, Carron","","Clare","€155,000.00","No","Second-Hand Dwelling house /Apartment",""
"22/01/2010","Mount Catherine, Clonlara","","Clare","€410,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/01/2010","50 The Hawthorns, Limerick Road, Ennis","","Clare","€160,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/01/2010","Killestry, Killaloe, Co. Clare","","Clare","€100,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/01/2010","Poulroe, Tubber","","Clare","€280,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/01/2010","Roo East, Ardnacrusha","","Clare","€290,000.00","No","Second-Hand Dwelling house /Apartment",""
"29/01/2010","4 THE COMPASS, GERADLINE PLACE, KILKEE","","Clare","€350,000.00","No","Second-Hand Dwelling house /Apartment",""
"29/01/2010","Hillcreest, Drumcliffe, Ennis","","Clare","€228,000.00","No","Second-Hand Dwelling house /Apartment",""
"01/02/2010","Lannaght, Dromindoora, Caher","","Clare","€120,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/02/2010","21 Carraig an Oir, Tobarteascain, Ennis","","Clare","€180,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/02/2010","43 Cluainin, Tullyvarraga, Shannon","","Clare","€230,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/02/2010","8  Cois na Ce, Cappa Road, Kilrush","","Clare","€170,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"05/02/2010","54 Gort na nUll, Sixmilebridge","","Clare","€146,916.29","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"08/02/2010","Breaffy South, Spanish Point","","Clare","€450,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/02/2010","21 Sli an Fhearghas, Clarecastle","","Clare","€159,382.72","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"11/02/2010","37 Ivy Hill, Gort Road, Ennis","","Clare","€194,000.00","No","Second-Hand Dwelling house /Apartment",""
"12/02/2010","50 The Paddocks, Westbury, Corbally","","Clare","€185,000.00","No","Second-Hand Dwelling house /Apartment",""
"12/02/2010","No. 10 Gort an Clochair, Kilkee","","Clare","€232,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"15/02/2010","80 Inis Chlair, Kildysart Road, Ennis","","Clare","€211,453.74","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"16/02/2010","Cloughoolia, Oatfield, Sixmilebridge","","Clare","€215,000.00","No","Second-Hand Dwelling house /Apartment",""
"17/02/2010","22d Moore Bay, Kilkee, Co. Clare","","Clare","€123,500.00","No","Second-Hand Dwelling house /Apartment",""
"17/02/2010","Birrenfadda, Cranny","","Clare","€55,000.00","No","Second-Hand Dwelling house /Apartment",""
"19/02/2010","Bridge house, School Road, Ballyvaughan","","Clare","€350,000.00","No","Second-Hand Dwelling house /Apartment",""
"22/02/2010","42 Ashview Drive, Sixmilebridge, Co Clare","","Clare","€190,000.00","No","Second-Hand Dwelling house /Apartment",""
"23/02/2010","19 Hazelwood, Clondroadmore, Ennis","","Clare","€180,000.00","No","Second-Hand Dwelling house /Apartment",""
"23/02/2010","26 Clonlara Village, Clonlara","","Clare","€228,500.00","No","Second-Hand Dwelling house /Apartment",""
"25/02/2010","22  Liscannor Holiday Homes, Liscannor, Co. Clare","","Clare","€450,000.00","No","Second-Hand Dwelling house /Apartment",""
"26/02/2010","11 Doolin Farmhouse Cottages, Doolin","","Clare","€330,598.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"26/02/2010","124 Aidan Park, Shannon, Co. Clare","","Clare","€150,000.00","No","Second-Hand Dwelling house /Apartment",""
"26/02/2010","21, Inchicronan, Crusheen","","Clare","€185,000.00","No","Second-Hand Dwelling house /Apartment",""
