"Date of Sale (dd/mm/yyyy)","Address","Postal Code","County","Price (€)","Not Full Market Price","Description of Property","Property Size Description"
"04/01/2010","15 Carriglawn, Waterpark, Carrigaline","","Cork","€180,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/01/2010","25  Lavallin Drive, Whitechurch, Cork","","Cork","€352,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"04/01/2010","78 Sundays Well Road, Cork","","Cork","€510,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/01/2010","Knocknaree, Windsor Hill, Glounthaune","","Cork","€475,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/01/2010","The Greenway, Mofel Farm Road, Cork","","Cork","€160,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"05/01/2010","Ballinvarrig, Youghal","","Cork","€300,000.00","No","Second-Hand Dwelling house /Apartment",""
"05/01/2010","Boolard, Dromina, Charleville","","Cork","€44,820.00","Yes","Second-Hand Dwelling house /Apartment",""
"06/01/2010","11 Glasheen Park, Magazine Road, Cork","","Cork","€265,000.00","No","Second-Hand Dwelling house /Apartment",""
"06/01/2010","17 Primrose Court, Forest Hill, Carrigaline","","Cork","€207,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"06/01/2010","21  Richmond Estate, Blackrock","","Cork","€375,000.00","No","Second-Hand Dwelling house /Apartment",""
"06/01/2010","547 The Heron, Jacobs Island, Cork","","Cork","€200,000.00","No","Second-Hand Dwelling house /Apartment",""
"06/01/2010","79 Cardinal Court, Wilton, Cork","","Cork","€245,000.00","No","Second-Hand Dwelling house /Apartment",""
"06/01/2010","85 The Orchards, Ballincubby, Kinsale","","Cork","€220,263.42","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"06/01/2010","Ballydaly Lower, Millstreet","","Cork","€190,000.00","No","Second-Hand Dwelling house /Apartment",""
"06/01/2010","Rosenarra, Blarney Road","","Cork","€357,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/01/2010","12  Woodlawn, Brigown, Mitchelstown","","Cork","€200,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/01/2010","37  The Moorings, Skibbereen","","Cork","€190,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/01/2010","39B Elm Vale Avenue, Sarsfield Road, Wilton","","Cork","€185,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/01/2010","Scarteen Lower, Newmarket","","Cork","€210,000.00","No","Second-Hand Dwelling house /Apartment",""
"08/01/2010","11  Daneswood, Donnybrook, Douglas","","Cork","€242,290.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"08/01/2010","19 Westbrook Court, Midleton","","Cork","€212,000.00","No","Second-Hand Dwelling house /Apartment",""
"08/01/2010","2  Chestnut Drive, Cluain Ard, Cobh","","Cork","€156,828.19","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"08/01/2010","58 Castlewood Park, Little Island","","Cork","€250,000.00","No","Second-Hand Dwelling house /Apartment",""
"08/01/2010","58 Castlewood Park, Little Island","","Cork","€250,000.00","No","Second-Hand Dwelling house /Apartment",""
"08/01/2010","6, GLEANN RUA, BALLYGARVAN","","Cork","€250,000.00","No","Second-Hand Dwelling house /Apartment",""
"08/01/2010","8  Cois Cuain, Whitegate","","Cork","€249,000.00","No","Second-Hand Dwelling house /Apartment",""
"08/01/2010","8 Ash Road, Fota Rock, Carrigtwohill","","Cork","€185,000.00","No","Second-Hand Dwelling house /Apartment",""
"08/01/2010","Brookpark, Rathcool, Mallow","","Cork","€130,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/01/2010","15 Limeworth, Ballincollig","","Cork","€745,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/01/2010","18 Cairns Woods, Ballyviniter, Mallow","","Cork","€205,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/01/2010","18 Manor Roag, Lehenaghbeg, Togher","","Cork","€270,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"12/01/2010","2 Kingston Avenue, Victoria Road","","Cork","€140,000.00","No","Second-Hand Dwelling house /Apartment",""
"12/01/2010","27 CLONLEA, MOUNT OVAL VILLAGE, ROCHESTOWN","","Cork","€160,000.00","No","Second-Hand Dwelling house /Apartment",""
"12/01/2010","3 Newenham Terrace, Infirmary Road, Cork","","Cork","€410,000.00","No","Second-Hand Dwelling house /Apartment",""
"12/01/2010","52 Clonmore, Ballyviniter, Mallow","","Cork","€188,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
