"Date of Sale (dd/mm/yyyy)","Address","Postal Code","County","Price (€)","Not Full Market Price","Description of Property","Property Size Description"
"06/01/2010","60 oriel Cove, clogherhead","","Louth","€100,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"06/01/2010","99 Fountain Hill, Mell, Drogheda","","Louth","€115,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/01/2010","121 Medebawn, Long Avenue, Dundalk","","Louth","€237,885.46","No","New Dwelling house /Apartment","greater than 125 sq metres"
"11/01/2010","1 The View, Riverbank, Drogheda","","Louth","€385,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/01/2010","Farmlands, Treagh, Inniskeen.","","Louth","€255,000.00","No","Second-Hand Dwelling house /Apartment",""
"12/01/2010","11 Allenwood, Tullyallen, Drogheda","","Louth","€180,616.74","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"12/01/2010","110 ROCKFIELD CLOSE, ARDEE","","Louth","€216,000.00","No","Second-Hand Dwelling house /Apartment",""
"13/01/2010","92 Castleross, Dundalk","","Louth","€120,000.00","No","Second-Hand Dwelling house /Apartment",""
"13/01/2010","Dundalk Road, Ardee","","Louth","€168,000.00","No","Second-Hand Dwelling house /Apartment",""
"15/01/2010","102 Moorehall Rise, Ardee","","Louth","€214,153.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"15/01/2010","Old Road, Monasterboice","","Louth","€324,000.00","No","Second-Hand Dwelling house /Apartment",""
"15/01/2010","Old Road, Monasterboice","","Louth","€324,000.00","No","Second-Hand Dwelling house /Apartment",""
"18/01/2010","120 Crushrod Avenue, Drogheda","","Louth","€120,000.00","No","Second-Hand Dwelling house /Apartment",""
"18/01/2010","16 SLIABH BREAGH, ARDEE","","Louth","€148,000.00","No","Second-Hand Dwelling house /Apartment",""
"19/01/2010","21 Brickfield Gardens, Newry Road, Dundalk","","Louth","€132,158.59","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"21/01/2010","1 Mountain View, Point Road, Dundalk","","Louth","€153,000.00","No","Second-Hand Dwelling house /Apartment",""
"22/01/2010","26 Rathmount, Seafield Road, Blackrock","","Louth","€303,788.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
