"Date of Sale (dd/mm/yyyy)","Address","Postal Code","County","Price (€)","Not Full Market Price","Description of Property","Property Size Description"
"05/01/2010","11 CASTLE COURT, BIRR","","Offaly","€110,132.15","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"05/01/2010","12 CASTLE COURT, BIRR","","Offaly","€110,132.15","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"05/01/2010","14 CASTLE COURT, BIRR","","Offaly","€110,132.15","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"05/01/2010","3 castle court, birr","","Offaly","€154,185.02","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"05/01/2010","4 CASTLE COURT, BIRR","","Offaly","€154,185.02","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"05/01/2010","5 CASTLE COURT, BIRR","","Offaly","€154,185.02","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"08/01/2010","4 Chancery Park, Cloncollig, Tullamore","","Offaly","€155,000.00","No","Second-Hand Dwelling house /Apartment",""
"15/01/2010","Moylena, Tullamore","","Offaly","€200,000.00","No","Second-Hand Dwelling house /Apartment",""
"18/01/2010","3 Oakfield, Clonminch, Tullamore","","Offaly","€192,500.00","No","Second-Hand Dwelling house /Apartment",""
"22/01/2010","2 Coolagarry, Walsh Island, Geashill","","Offaly","€65,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"27/01/2010","46 Whitehall, Tullamore","","Offaly","€205,000.00","No","Second-Hand Dwelling house /Apartment",""
"27/01/2010","NUMBER 2, RATHCARN, MONEYGALL","","Offaly","€205,000.00","No","Second-Hand Dwelling house /Apartment",""
"29/01/2010","11 The Willows, Clonminch, Tullamore","","Offaly","€235,000.00","No","Second-Hand Dwelling house /Apartment",""
"29/01/2010","43 Harbour Walk, Tullamore","","Offaly","€160,000.00","No","Second-Hand Dwelling house /Apartment",""
"01/02/2010","ballygaddy, sharavogue, birr","","Offaly","€175,000.00","No","Second-Hand Dwelling house /Apartment",""
"01/02/2010","Main Street, Shinrone, Birr","","Offaly","€225,500.00","No","Second-Hand Dwelling house /Apartment",""
"02/02/2010","5 Cornmarket Street, Birr","","Offaly","€100,000.00","No","Second-Hand Dwelling house /Apartment",""
"05/02/2010","main street, ferbang","","Offaly","€125,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/02/2010","The Beeches, Cappincur, Tullamore","","Offaly","€350,000.00","No","Second-Hand Dwelling house /Apartment",""
"12/02/2010","5 Johns Mall, Birr","","Offaly","€555,000.00","No","Second-Hand Dwelling house /Apartment",""
"24/02/2010","25 Birr Road, Shinrone, Birr","","Offaly","€75,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"25/02/2010","Turraun, Rahan, Tullamore","","Offaly","€60,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/02/2010","Turraun, Rahan, Tullamore","","Offaly","€60,000.00","No","Second-Hand Dwelling house /Apartment",""
"26/02/2010","1 Harbour Drive, Tullamore","","Offaly","€170,000.00","No","Second-Hand Dwelling house /Apartment",""
"01/03/2010","30 Ard Na Carraig, Edenderry","","Offaly","€167,400.00","No","New Dwelling house /Apartment","less than 38 sq metres"
"03/03/2010","cloonaloughan, cloughjordan","","Offaly","€105,000.00","No","Second-Hand Dwelling house /Apartment",""
"03/03/2010","Cloonaloughan, Cloughjordan","","Offaly","€105,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/03/2010","22 Carraig Ean, Edenderry","","Offaly","€57,863.36","No","New Dwelling house /Apartment","less than 38 sq metres"
"04/03/2010","28 Carraig Ean, Edenderry","","Offaly","€97,511.01","No","New Dwelling house /Apartment","less than 38 sq metres"
"05/03/2010","12 Cluain Alainn, Balagher","","Offaly","€165,000.00","No","Second-Hand Dwelling house /Apartment",""
"05/03/2010","24 Island Lodge, Walsh Island","","Offaly","€120,000.00","No","Second-Hand Dwelling house /Apartment",""
"05/03/2010","25 Carraig Ean, Edenderry","","Offaly","€97,511.01","No","New Dwelling house /Apartment","less than 38 sq metres"
"05/03/2010","67 Droim Liath, Tullamore","","Offaly","€142,000.00","No","Second-Hand Dwelling house /Apartment",""
"09/03/2010","30 Carraig Ean, Edenderry","","Offaly","€94,867.84","No","New Dwelling house /Apartment","less than 38 sq metres"
"12/03/2010","1 Tyrells Brook Walk, Edenderry","","Offaly","€200,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"16/03/2010","172  Church Hill, Tullamore","","Offaly","€60,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"16/03/2010","24 Chancery Park Road, Chancery Park  Cloncollig, Tullamore","","Offaly","€165,000.00","No","Second-Hand Dwelling house /Apartment",""
"16/03/2010","52 Eiscir End Road, Eiscir Meadows, Tullamore","","Offaly","€190,000.00","No","New Dwelling house /Apartment","less than 38 sq metres"
"18/03/2010","113 O'Molloy Street, Tullamore","","Offaly","€120,000.00","No","Second-Hand Dwelling house /Apartment",""
"18/03/2010","50 Droim Liath, Collins Lane, Tullamore","","Offaly","€220,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"18/03/2010","cork hill, clara","","Offaly","€138,000.00","No","Second-Hand Dwelling house /Apartment",""
"18/03/2010","Derrinlough, Birr","","Offaly","€39,000.00","No","Second-Hand Dwelling house /Apartment",""
"19/03/2010","1 Springfield, Moneygall","","Offaly","€154,185.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"30/03/2010","CLONDALLA, BIRR","","Offaly","€125,000.00","No","Second-Hand Dwelling house /Apartment",""
"01/04/2010","16 Chancery Park Grove, Chancery Park  Cloncollig, Tullamore","","Offaly","€150,500.00","No","Second-Hand Dwelling house /Apartment",""
"07/04/2010","29 Carraig Ean, Edenderry","","Offaly","€75,484.58","No","New Dwelling house /Apartment","less than 38 sq metres"
"08/04/2010","30 Hophill Vale, Tullamore","","Offaly","€163,000.00","No","Second-Hand Dwelling house /Apartment",""
"13/04/2010","Clonlack House, Rhode","","Offaly","€375,000.00","No","Second-Hand Dwelling house /Apartment",""
"15/04/2010","Ballycon, Mountlucas, Tullamore","","Offaly","€130,000.00","No","Second-Hand Dwelling house /Apartment",""
"19/04/2010","2 Ballingar, Tullamore","","Offaly","€229,074.89","No","New Dwelling house /Apartment","greater than 125 sq metres"
"19/04/2010","24 PARNELL STREET, TULLAMORE","","Offaly","€115,000.00","No","Second-Hand Dwelling house /Apartment",""
"21/04/2010","Bogtown, Cloneygowan","","Offaly","€82,500.00","No","Second-Hand Dwelling house /Apartment",""
"21/04/2010","Cushina, Portarlington, Co Offaly","","Offaly","€87,000.00","No","Second-Hand Dwelling house /Apartment",""
"22/04/2010","32 Armstrong Grove, Clara","","Offaly","€143,000.00","No","Second-Hand Dwelling house /Apartment",""
"26/04/2010","Belmont House Stud, Belmont  Birr","","Offaly","€34,500.00","Yes","Second-Hand Dwelling house /Apartment",""
"26/04/2010","Hazeldene, Ashley Court, Tullamore","","Offaly","€450,000.00","No","Second-Hand Dwelling house /Apartment",""
"26/04/2010","Magherabane, Cloghan","","Offaly","€80,000.00","No","Second-Hand Dwelling house /Apartment",""
"26/04/2010","Tonlemone, Cloghan","","Offaly","€120,000.00","No","Second-Hand Dwelling house /Apartment",""
"30/04/2010","17 Eiscir End Road, Eiscir Meadows, Tullamore","","Offaly","€165,000.00","No","Second-Hand Dwelling house /Apartment",""
"30/04/2010","21 Ard Glas, Ferbane","","Offaly","€142,290.75","No","New Dwelling house /Apartment","less than 38 sq metres"
"30/04/2010","23 Rathcarn, Moneygall","","Offaly","€153,348.02","No","New Dwelling house /Apartment","greater than 125 sq metres"
"30/04/2010","House and garden, 88 JKL Street, Edenderry","","Offaly","€830,000.00","No","Second-Hand Dwelling house /Apartment",""
"30/04/2010","No. 2 Mountain View Estate, Ballyknockan, Coolderry  Birr","","Offaly","€155,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/05/2010","Cloneyquinn, Cloneygowan","","Offaly","€265,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"06/05/2010","3 Clonminch Lane, Tullamore","","Offaly","€360,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"06/05/2010","Aughanrushe, Killeigh, Tullamore","","Offaly","€240,000.00","No","Second-Hand Dwelling house /Apartment",""
"06/05/2010","irishtown, dunkerrin, birr","","Offaly","€110,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/05/2010","134 Ballin Ri, Tullamore","","Offaly","€185,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/05/2010","3 Newberry Park, Tyrrell's Lane, Edenderry","","Offaly","€150,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"07/05/2010","35 Charleville View, Tullamore","","Offaly","€400,000.00","No","Second-Hand Dwelling house /Apartment",""
"10/05/2010","Clonmeen, Rhode","","Offaly","€132,500.00","No","Second-Hand Dwelling house /Apartment",""
"11/05/2010","Cornagark, Kilcormac","","Offaly","€50,000.00","No","Second-Hand Dwelling house /Apartment",""
"14/05/2010","14 Droim Liath, Tullamore","","Offaly","€216,000.00","No","Second-Hand Dwelling house /Apartment",""
"17/05/2010","4 St Helen's Court, Banagher","","Offaly","€132,157.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"18/05/2010","1 BREATHNACH COURT, FERBANE, OFFALY","","Offaly","€143,551.05","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"19/05/2010","Turraun, Rahan, Tullamore","","Offaly","€60,000.00","No","Second-Hand Dwelling house /Apartment",""
"20/05/2010","26 Carraig Ean, Edenderry, Co.Offaly","","Offaly","€99,173.00","No","New Dwelling house /Apartment","less than 38 sq metres"
"21/05/2010","19 Church View, Portarlington","","Offaly","€120,000.00","No","Second-Hand Dwelling house /Apartment",""
"21/05/2010","GRACEFIELD, PORTARLINGTON, CO OFFALY","","Offaly","€150,000.00","No","Second-Hand Dwelling house /Apartment",""
"24/05/2010","8 Cois Callow, Banagher","","Offaly","€235,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
