"Date of Sale (dd/mm/yyyy)","Address","Postal Code","County","Price (€)","Not Full Market Price","Description of Property","Property Size Description"
"04/01/2010","59 ormond keep, nenagh","","Tipperary","€128,000.00","No","Second-Hand Dwelling house /Apartment",""
"05/01/2010","8 Silverview, Nenagh","","Tipperary","€90,000.00","No","Second-Hand Dwelling house /Apartment",""
"06/01/2010","Killeen, Newport","","Tipperary","€110,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/01/2010","Parkview, Emly","","Tipperary","€186,000.00","No","Second-Hand Dwelling house /Apartment",""
"08/01/2010","2 Lana Croke, Dualla, Cashel","","Tipperary","€149,780.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"08/01/2010","41 Powerstown Way, Clonmel","","Tipperary","€332,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"08/01/2010","Knockcurra, Drangan, Thurles","","Tipperary","€50,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/01/2010","19 OAKLANDS, CARRICK ON SUIR, COUNTY TIPPERARY","","Tipperary","€192,500.00","No","Second-Hand Dwelling house /Apartment",""
"11/01/2010","33 Shanavine Way, Clonmel","","Tipperary","€160,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/01/2010","6 dun lia, thurles","","Tipperary","€50,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"11/01/2010","Whitehall, Drombane, Thurles","","Tipperary","€24,500.00","No","Second-Hand Dwelling house /Apartment",""
"12/01/2010","Newhill, Two-Mile-Borris, Thurles","","Tipperary","€213,000.00","No","Second-Hand Dwelling house /Apartment",""
"15/01/2010","2 Ard Mhuire, Newport","","Tipperary","€85,000.00","No","Second-Hand Dwelling house /Apartment",""
"15/01/2010","Ballycommon, Nenagh","","Tipperary","€96,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"15/01/2010","Laverna, 2 Clonaslee, Gortlandroe Nenagh","","Tipperary","€253,000.00","No","Second-Hand Dwelling house /Apartment",""
"18/01/2010","18 Fan Aoibhinn, Cahir Road, Clonmel","","Tipperary","€265,000.00","No","Second-Hand Dwelling house /Apartment",""
"18/01/2010","Ballintotty, Nenagh","","Tipperary","€385,000.00","No","Second-Hand Dwelling house /Apartment",""
"20/01/2010","35 Cluain Ard, Roscrea","","Tipperary","€215,000.00","No","Second-Hand Dwelling house /Apartment",""
"22/01/2010","Scart na Gloran, Kilcoran, Cahir","","Tipperary","€225,000.00","No","Second-Hand Dwelling house /Apartment",""
"26/01/2010","46 Summerhill, Nenagh","","Tipperary","€25,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"26/01/2010","Foxhall, Newport","","Tipperary","€110,000.00","No","Second-Hand Dwelling house /Apartment",""
"26/01/2010","Kiltillane, Templemore","","Tipperary","€124,754.84","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"26/01/2010","No 8. The Drive, Carden's Court Main Street, Templemore","","Tipperary","€193,832.59","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"27/01/2010","no 8 emmet place, nenagh","","Tipperary","€140,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"28/01/2010","2 Richmond Cottages, Nenagh","","Tipperary","€103,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/01/2010","SAVANNAH HOUSE, ARD GAOITHE, CLONMEL","","Tipperary","€200,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/01/2010","The Orchard, Albert Close, Clonmel","","Tipperary","€165,000.00","No","Second-Hand Dwelling house /Apartment",""
"29/01/2010","31 Pallas Derg, Newtown, Nenagh","","Tipperary","€140,000.00","No","Second-Hand Dwelling house /Apartment",""
"29/01/2010","Ballingarry, Roscrea","","Tipperary","€212,500.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"01/02/2010","229 Coille Bheithe, St Conlons road, Nenagh","","Tipperary","€180,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"02/02/2010","1 Pearse Park, Clonmel","","Tipperary","€80,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"03/02/2010","23 Droimeala, Clonmel","","Tipperary","€190,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/02/2010","'Tara Cottage', Monemore, Emly","","Tipperary","€182,750.00","No","Second-Hand Dwelling house /Apartment",""
"04/02/2010","10 Ashlawn, Clerihan, Clonmel","","Tipperary","€170,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/02/2010","13 knockanpierce, nenagh","","Tipperary","€111,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/02/2010","33 Whitethorn Hill, Tullaskeagh, Roscrea","","Tipperary","€180,000.00","No","New Dwelling house /Apartment","less than 38 sq metres"
"04/02/2010","Clashaniska Upper, Clonmel","","Tipperary","€342,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"04/02/2010","Garranroe, Thurles","","Tipperary","€263,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/02/2010","Scrageen, Newport, Co Tipperary","","Tipperary","€235,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/02/2010","Terryglass, Nenagh","","Tipperary","€278,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"05/02/2010","12 Castleoak Crescent, Dark Road, Nenagh","","Tipperary","€170,925.11","No","New Dwelling house /Apartment","greater than 125 sq metres"
"05/02/2010","30 Carrig Rua, Gortlandroe, Nenagh","","Tipperary","€15,000.00","No","Second-Hand Dwelling house /Apartment",""
"05/02/2010","75 Casieal na Ri, Cashel","","Tipperary","€175,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"05/02/2010","Clongour, Thurles","","Tipperary","€212,000.00","No","Second-Hand Dwelling house /Apartment",""
"06/02/2010","56 WIllowmere Drive, Thurles","","Tipperary","€50,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"09/02/2010","Boulick, Gortnahoe, Thurles","","Tipperary","€225,000.00","No","Second-Hand Dwelling house /Apartment",""
"10/02/2010","20 MountainView Park, Rosegreen, Cashel","","Tipperary","€120,000.00","No","Second-Hand Dwelling house /Apartment",""
"10/02/2010","Bronagh, Abbey Street, Cahir","","Tipperary","€225,000.00","No","Second-Hand Dwelling house /Apartment",""
"10/02/2010","Garraunmore, Newtown, Nenagh","","Tipperary","€190,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/02/2010","Newtown, Drangan, Thurles","","Tipperary","€40,000.00","No","Second-Hand Dwelling house /Apartment",""
"12/02/2010","233 Elm Park, Clonmel","","Tipperary","€110,000.00","No","Second-Hand Dwelling house /Apartment",""
"12/02/2010","4 Abbott Mews, Holycross, Thurles","","Tipperary","€121,000.00","No","Second-Hand Dwelling house /Apartment",""
"12/02/2010","5 Beech View, Ard Na Sidhe, Clonmel","","Tipperary","€242,000.00","No","Second-Hand Dwelling house /Apartment",""
"12/02/2010","87 st mollerans, carrickbeg, carrick on suir","","Tipperary","€127,000.00","No","Second-Hand Dwelling house /Apartment",""
"15/02/2010","12 THE COACHYARD, MAIN STREET, CLOUGHJORDAN","","Tipperary","€110,000.00","No","Second-Hand Dwelling house /Apartment",""
"15/02/2010","2 Carraig Derg, Ballycommon, Nenagh","","Tipperary","€242,291.17","No","New Dwelling house /Apartment","greater than 125 sq metres"
"17/02/2010","23, Bridge Street, Carrick on Suir","","Tipperary","€60,000.00","No","Second-Hand Dwelling house /Apartment",""
"17/02/2010","36  Oakfield Drive, Thurles","","Tipperary","€90,000.00","No","Second-Hand Dwelling house /Apartment",""
"18/02/2010","Sopwell, Cloughjordan","","Tipperary","€100,000.00","No","Second-Hand Dwelling house /Apartment",""
"18/02/2010","Walshbog, Killusty, Fethard","","Tipperary","€155,000.00","No","Second-Hand Dwelling house /Apartment",""
"19/02/2010","1 church view, roscrea","","Tipperary","€207,500.00","No","Second-Hand Dwelling house /Apartment",""
"19/02/2010","8 Riverside, Miller's Brook, Nenagh","","Tipperary","€146,321.58","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"19/02/2010","Longorchard, Templetuohy, Thurles","","Tipperary","€30,000.00","No","Second-Hand Dwelling house /Apartment",""
"22/02/2010","10 moneen court, roscrea","","Tipperary","€115,000.00","No","Second-Hand Dwelling house /Apartment",""
"22/02/2010","85 Kennedy Park, Thurles","","Tipperary","€135,000.00","No","Second-Hand Dwelling house /Apartment",""
"23/02/2010","1 Carraig Derg, Ballycommon, Nenagh","","Tipperary","€242,291.17","No","New Dwelling house /Apartment","greater than 125 sq metres"
"23/02/2010","Bishopswood, Dundrum","","Tipperary","€126,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/02/2010","15 Wheatfields, Ballingarrane, Clonmel","","Tipperary","€155,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/02/2010","18 Crann Ard, Fethard Road, Clonmel","","Tipperary","€219,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/02/2010","8  Deerpark Close, Carrick-on-Suir, Co. Tipperary","","Tipperary","€175,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/02/2010","Currafhduff, Newport","","Tipperary","€70,000.00","No","Second-Hand Dwelling house /Apartment",""
"26/02/2010","9 Kilganey, Clonmel","","Tipperary","€20,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"26/02/2010","Ballingarry Upper, Thurles","","Tipperary","€40,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"01/03/2010","Curraheen, Horse and Jockey, Thurles","","Tipperary","€254,500.00","No","Second-Hand Dwelling house /Apartment",""
"01/03/2010","Rosaree, Newport","","Tipperary","€265,000.00","No","Second-Hand Dwelling house /Apartment",""
"03/03/2010","5 Friary Avenue, The Steeples, Dualla Road  Cashel","","Tipperary","€180,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"03/03/2010","Ballymackeogh, Newport","","Tipperary","€70,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/03/2010","No 40 Dun Lia, Loughtagalla, Thurles","","Tipperary","€133,921.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"04/03/2010","Site 41, The Village, Cloughjordan","","Tipperary","€392,596.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"05/03/2010","36 DUN LIA, LOUGHTAGALLA, THURLES","","Tipperary","€152,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"05/03/2010","Ballycapple, Cloughjordan","","Tipperary","€115,000.00","No","Second-Hand Dwelling house /Apartment",""
"09/03/2010","5 Carrig Derg, Ballycommon, Nenagh","","Tipperary","€202,643.17","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"10/03/2010","47 Griffith Avenue, Clonmel","","Tipperary","€150,000.00","No","Second-Hand Dwelling house /Apartment",""
"10/03/2010","Richmond, Nenagh, Co. Tipperary","","Tipperary","€210,132.16","No","New Dwelling house /Apartment","greater than 125 sq metres"
"11/03/2010","41 Dun Lia, Loughtagalla, Thurles","","Tipperary","€152,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"11/03/2010","Poulboy, Kilganey, Clonmel","","Tipperary","€264,000.00","No","Second-Hand Dwelling house /Apartment",""
"12/03/2010","18 Droimeala, Clonmel","","Tipperary","€180,000.00","No","Second-Hand Dwelling house /Apartment",""
"12/03/2010","75 ARD AOIBHINN, CLONMEL","","Tipperary","€195,595.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
