"Date of Sale (dd/mm/yyyy)","Address","Postal Code","County","Price (€)","Not Full Market Price","Description of Property","Property Size Description"
"04/01/2010","Ballyeden, Ballyoughter, Gorey","","Wexford","€255,022.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"07/01/2010","Annagh, Killena, Gorey","","Wexford","€45,000.00","No","Second-Hand Dwelling house /Apartment",""
"12/01/2010","Slevoy, Foulksmills","","Wexford","€170,000.00","No","Second-Hand Dwelling house /Apartment",""
"13/01/2010","3  Fox Haven, Lacken, Gorey","","Wexford","€350,000.00","No","New Dwelling house /Apartment","less than 38 sq metres"
"14/01/2010","139 Meadowgate, Knockmullen, Gorey","","Wexford","€207,048.45","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"14/01/2010","Burrow View, Rathaspeck","","Wexford","€290,000.00","No","Second-Hand Dwelling house /Apartment",""
"14/01/2010","Clough, Gorey","","Wexford","€370,000.00","No","Second-Hand Dwelling house /Apartment",""
"15/01/2010","1 Bellevue Heights, New Ross","","Wexford","€164,500.00","No","Second-Hand Dwelling house /Apartment",""
"15/01/2010","15 Whitebrook Drive, Whitebrook, Pembrokestown","","Wexford","€168,760.33","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"15/01/2010","38  Barrack Street, Wexford","","Wexford","€150,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"15/01/2010","Clancara Lodge, Duncormick, County Wexford","","Wexford","€264,000.00","No","Second-Hand Dwelling house /Apartment",""
"15/01/2010","Cornwall, Killurin","","Wexford","€155,000.00","No","Second-Hand Dwelling house /Apartment",""
"18/01/2010","5 Ard na Ba, Kilmore Quay, County Wexford","","Wexford","€257,709.26","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"18/01/2010","7 Riverchapel Road, Riverchapel Wood, Courtown","","Wexford","€159,325.11","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"19/01/2010","12 PRIORY HALL, SPAWELL ROAD, WEXFORD","","Wexford","€225,000.00","No","Second-Hand Dwelling house /Apartment",""
"19/01/2010","37 dunehaven, ardmine  courtown, wexford","","Wexford","€215,000.00","No","Second-Hand Dwelling house /Apartment",""
"19/01/2010","53 Willow Park, New Ross","","Wexford","€190,000.00","No","Second-Hand Dwelling house /Apartment",""
"19/01/2010","53 Willow Park, New Ross","","Wexford","€190,000.00","No","Second-Hand Dwelling house /Apartment",""
"19/01/2010","Clonleigh, Enniscorthy","","Wexford","€48,250.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"19/01/2010","Knocknagross, Bree, Co. Wexford","","Wexford","€265,000.00","No","Second-Hand Dwelling house /Apartment",""
