"Date of Sale (dd/mm/yyyy)","Address","Postal Code","County","Price (€)","Not Full Market Price","Description of Property","Property Size Description"
"05/01/2011","33 Barrowville, Kilkenny Road, Carlow","","Carlow","€263,436.12","No","New Dwelling house /Apartment","greater than 125 sq metres"
"06/01/2011","114 Browneshill Wood, Browneshill Road, Carlow","","Carlow","€175,330.39","No","New Dwelling house /Apartment","greater than 125 sq metres"
"14/01/2011","107 Browneshill Wood, Browneshill Road, Carlow","","Carlow","€140,088.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"18/01/2011","66 Browneshill Wood, Browneshill Road","","Carlow","€140,088.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"19/01/2011","61 Brownshill Wood, Brownshill Road, Carlow","","Carlow","€105,000.00","No","New Dwelling house /Apartment","less than 38 sq metres"
"19/01/2011","7 Blackbog Road, Bullock Park, Carlow","","Carlow","€205,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"25/01/2011","89 Pearse Road, Graiguecullen, Carlow","","Carlow","€80,561.07","Yes","Second-Hand Dwelling house /Apartment",""
"26/01/2011","17 MOUNT WOLSELEY VILLAGE, TULLOW","","Carlow","€120,000.00","No","Second-Hand Dwelling house /Apartment",""
"26/01/2011","20 Meadow Bank, Palatine, Carlow","","Carlow","€197,500.00","No","Second-Hand Dwelling house /Apartment",""
"27/01/2011","14 Friars Lough, Leighlibridge","","Carlow","€206,321.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"27/01/2011","4 Pollerton Manor, Pllerton Little, Carlow","","Carlow","€270,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/01/2011","19 Crosby Place, Little Barrack St.  Carlow","","Carlow","€142,000.00","No","Second-Hand Dwelling house /Apartment",""
"03/02/2011","4 BROWNESHILL WOOD, BROWNESHILL ROAD","","Carlow","€175,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
