"Date of Sale (dd/mm/yyyy)","Address","Postal Code","County","Price (€)","Not Full Market Price","Description of Property","Property Size Description"
"04/01/2011","LOSSETT, CHURCHILL","","Donegal","€200,000.00","No","Second-Hand Dwelling house /Apartment",""
"06/01/2011","Listillion, Letterkenny","","Donegal","€95,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/01/2011","BALLYARRELL, KILLYGORDON","","Donegal","€166,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"10/01/2011","Ballyargus, Redcastle","","Donegal","€115,000.00","No","Second-Hand Dwelling house /Apartment",""
"10/01/2011","NO 35 ASHMEADOWS, DRUMBOE, STRANORLAR","","Donegal","€86,872.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"10/01/2011","Rossnowlagh, Crockahany","","Donegal","€315,000.00","No","Second-Hand Dwelling house /Apartment",""
"13/01/2011","34 Solomon's Hill, Glencar, Letterkenny","","Donegal","€110,000.00","No","Second-Hand Dwelling house /Apartment",""
"14/01/2011","21 The Meadows, Buncrana","","Donegal","€125,000.00","No","Second-Hand Dwelling house /Apartment",""
"14/01/2011","DERRYREEL, FALCARRAGH","","Donegal","€115,000.00","No","Second-Hand Dwelling house /Apartment",""
"17/01/2011","Mullaghanery, Killygordon","","Donegal","€110,000.00","No","Second-Hand Dwelling house /Apartment",""
"18/01/2011","4 Radharc na Tra, Ballyness, Falcarragh","","Donegal","€123,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"19/01/2011","10 RIVERVIEW, BUNCRANA","","Donegal","€150,000.00","No","Second-Hand Dwelling house /Apartment",""
"19/01/2011","10 RIVERVIEW, BUNCRANA","","Donegal","€150,000.00","No","Second-Hand Dwelling house /Apartment",""
"20/01/2011","3 The Four Acres, Buncrana","","Donegal","€132,500.00","No","Second-Hand Dwelling house /Apartment",""
"21/01/2011","dunglow, boylagh","","Donegal","€140,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/01/2011","101 Fortune's Lawn, City West, Co Dublin","","Donegal","€185,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"25/01/2011","drumcreggan, letterkenny, letterkenny","","Donegal","€240,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"26/01/2011","ballylevin, manorcunningham","","Donegal","€193,832.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"27/01/2011","3 Kill Park, Dunfanaghy","","Donegal","€235,476.00","No","Second-Hand Dwelling house /Apartment",""
"27/01/2011","53 Rose Bank Court, Moville","","Donegal","€150,000.00","No","Second-Hand Dwelling house /Apartment",""
"27/01/2011","Irishtown, Burt","","Donegal","€99,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/01/2011","2 Ballyduff Terrace, Lifford","","Donegal","€65,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/01/2011","7 Swilly Apartments, Swilly Road, Buncrana","","Donegal","€110,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/01/2011","Drumdeevin, Termon","","Donegal","€120,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"31/01/2011","84 lower main street, letterkenny","","Donegal","€84,375.00","Yes","Second-Hand Dwelling house /Apartment",""
"31/01/2011","84 lower main street, letterkenny","","Donegal","€84,375.00","Yes","Second-Hand Dwelling house /Apartment",""
"31/01/2011","84 lower main street, letterkenny","","Donegal","€84,375.00","Yes","Second-Hand Dwelling house /Apartment",""
"01/02/2011","3 Glenbree, Gleneely, Letterkenny","","Donegal","€100,000.00","No","Second-Hand Dwelling house /Apartment",""
"02/02/2011","11 CUIRT AN STAISUN, FALCARRAGH, LETTERKENNY","","Donegal","€130,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"02/02/2011","31 Stracomer View, Bundoran","","Donegal","€125,000.00","No","Second-Hand Dwelling house /Apartment",""
"02/02/2011","Ray, Rathmullan","","Donegal","€38,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/02/2011","Mullaghnerary, Killygordon, Lifford","","Donegal","€140,969.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/02/2011","Number 3, Surfers Cove, Bundoran","","Donegal","€115,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/02/2011","24 Woodthorpe, Newtowncunningham","","Donegal","€145,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/02/2011","32 Aughrim Heights, Ballyliffin","","Donegal","€163,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/02/2011","51 Burwood, Magherinture, Buncrana","","Donegal","€66,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"07/02/2011","Carricknagore, Bruckless","","Donegal","€360,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/02/2011","Littlebridge, Dungloe","","Donegal","€157,250.00","No","Second-Hand Dwelling house /Apartment",""
"08/02/2011","Carrick, Carrigart","","Donegal","€50,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/02/2011","84 lower main street, letterkenny","","Donegal","€84,375.00","Yes","Second-Hand Dwelling house /Apartment",""
"11/02/2011","84 lower main street, letterkenny","","Donegal","€84,375.00","Yes","Second-Hand Dwelling house /Apartment",""
"11/02/2011","8B BEACH COTTAGES, ROSSNOWLAGH","","Donegal","€259,912.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"16/02/2011","Churchland Quarters, Carndonagh","","Donegal","€65,000.00","No","Second-Hand Dwelling house /Apartment",""
"16/02/2011","Main Street, Dunkineely","","Donegal","€40,000.00","No","Second-Hand Dwelling house /Apartment",""
"17/02/2011","70 Stracomer Hill, Bundoran","","Donegal","€294,889.86","No","New Dwelling house /Apartment","greater than 125 sq metres"
"17/02/2011","Quay Street, Moville","","Donegal","€95,000.00","No","Second-Hand Dwelling house /Apartment",""
"18/02/2011","18A Riverdale Park, Straboe, Buncrana","","Donegal","€100,000.00","No","Second-Hand Dwelling house /Apartment",""
"18/02/2011","CRANNOGEBOY, LOUGHROS POINT, ARDARA","","Donegal","€230,000.00","No","Second-Hand Dwelling house /Apartment",""
"21/02/2011","Old School House, Culdaff","","Donegal","€80,000.00","No","Second-Hand Dwelling house /Apartment",""
"23/02/2011","50 Grainan Park, Burnfoot","","Donegal","€150,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"23/02/2011","Greenans, Glenties","","Donegal","€55,000.00","No","Second-Hand Dwelling house /Apartment",""
"24/02/2011","36 Liffey Close, Liffey Valley Park, Lucan","","Donegal","€157,000.00","No","Second-Hand Dwelling house /Apartment",""
"24/02/2011","6 Quay Street, Moville","","Donegal","€125,000.00","No","Second-Hand Dwelling house /Apartment",""
"01/03/2011","Carradoan, Rathmullan","","Donegal","€220,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"01/03/2011","Knockfola, Brinlack","","Donegal","€245,000.00","No","Second-Hand Dwelling house /Apartment",""
"01/03/2011","Main Street, Ray, Manorcunningham","","Donegal","€58,000.00","No","Second-Hand Dwelling house /Apartment",""
"02/03/2011","40 Ashtown Grove, Navan Road","","Donegal","€250,000.00","No","Second-Hand Dwelling house /Apartment",""
"02/03/2011","Cashel, Ardara","","Donegal","€80,000.00","No","Second-Hand Dwelling house /Apartment",""
"02/03/2011","Gortgowan, Moville","","Donegal","€200,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"03/03/2011","29 Solomons Manor, GLENCAR SCOTCH, LETTERKENNY","","Donegal","€112,000.00","No","Second-Hand Dwelling house /Apartment",""
"03/03/2011","Apartment 8, Quay Side Apartments, Ramelton","","Donegal","€149,779.74","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"03/03/2011","Lunniagh, Kilmacrenan, Co. Donegal","","Donegal","€105,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/03/2011","TEELIN, CARRICK","","Donegal","€80,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/03/2011","Balloor, Fanad","","Donegal","€80,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/03/2011","Bridge Inn, Lower Main Street, Dungloe","","Donegal","€80,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/03/2011","No 2 Fountain Terrace, Miltown, Convoy","","Donegal","€60,200.00","No","Second-Hand Dwelling house /Apartment",""
"10/03/2011","Conwal, Letterkenny","","Donegal","€280,000.00","No","Second-Hand Dwelling house /Apartment",""
"10/03/2011","Trentagh, St. Johnston","","Donegal","€50,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/03/2011","12 BUNHOLVIL, BUNDORAN","","Donegal","€96,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/03/2011","16 LoughCastel View, Greencastle","","Donegal","€105,000.00","No","Second-Hand Dwelling house /Apartment",""
"14/03/2011","Magherabalde, Cresslough","","Donegal","€230,000.00","No","Second-Hand Dwelling house /Apartment",""
"14/03/2011","rooskey, newtowncunningham","","Donegal","€120,000.00","No","Second-Hand Dwelling house /Apartment",""
"15/03/2011","3 Harbourside, Downings","","Donegal","€283,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"17/03/2011","49 Beinn Aoibhinn, Letterkenny","","Donegal","€140,000.00","No","Second-Hand Dwelling house /Apartment",""
"18/03/2011","3 Merchants Way, Aughnagaddy Glebe, Ramelton","","Donegal","€300,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"18/03/2011","Aileagh View, Dundrain, Burnfoot","","Donegal","€350,000.00","No","Second-Hand Dwelling house /Apartment",""
"18/03/2011","Tullan Strand Road, Bundoran","","Donegal","€185,000.00","No","Second-Hand Dwelling house /Apartment",""
"21/03/2011","St Bridget's Crescent, Drumkeen, Letterkenny","","Donegal","€69,000.00","No","Second-Hand Dwelling house /Apartment",""
"22/03/2011","14 Millpark Apartments, Donegal Town","","Donegal","€182,500.00","No","New Dwelling house /Apartment","less than 38 sq metres"
"22/03/2011","Moneyhaughey, Manorcunningham","","Donegal","€255,000.00","No","Second-Hand Dwelling house /Apartment",""
"24/03/2011","1 Rosebank Court, Moville","","Donegal","€150,000.00","No","Second-Hand Dwelling house /Apartment",""
"24/03/2011","82 Ashlea Grove, Killea","","Donegal","€133,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/03/2011","Apartment 19  The Maples, Lismonaghan, Letterkenny","","Donegal","€41,725.37","Yes","Second-Hand Dwelling house /Apartment",""
"25/03/2011","Leenan, Clonmany","","Donegal","€60,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/03/2011","UPPER ARDMORE, muff","","Donegal","€196,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/03/2011","BEDLAM, GORTAHORK","","Donegal","€118,000.00","No","Second-Hand Dwelling house /Apartment",""
"30/03/2011","17 Elmwood Downs, Letterkenny","","Donegal","€115,000.00","No","Second-Hand Dwelling house /Apartment",""
"30/03/2011","308 Colehill, Newtowncunningham","","Donegal","€40,000.00","No","Second-Hand Dwelling house /Apartment",""
"30/03/2011","5 The Manor, Crawford Woods, Glanmire","","Donegal","€497,500.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"30/03/2011","52 The Elms, Letterkenny","","Donegal","€115,000.00","No","Second-Hand Dwelling house /Apartment",""
"30/03/2011","64 Foxhills, Letterkenny","","Donegal","€100,000.00","No","Second-Hand Dwelling house /Apartment",""
"30/03/2011","Middle Dore, Letterkenny","","Donegal","€110,000.00","No","Second-Hand Dwelling house /Apartment",""
"31/03/2011","2 Lough View, Buncrana","","Donegal","€70,000.00","No","Second-Hand Dwelling house /Apartment",""
"31/03/2011","27 Ballyraine Park, Letterkenny","","Donegal","€100,000.00","No","Second-Hand Dwelling house /Apartment",""
"01/04/2011","2 Ard Aoibheann, Townalary, Donegal Town","","Donegal","€165,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"01/04/2011","APARTMENT 27, RIVERSIDE VIEW, LETTERKENNY","","Donegal","€6,250.00","No","Second-Hand Dwelling house /Apartment",""
"04/04/2011","10 LOBSTER POT COURT, ARDARA","","Donegal","€180,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/04/2011","3 Bridgend, Ramelton","","Donegal","€90,000.00","No","Second-Hand Dwelling house /Apartment",""
"05/04/2011","Lower Baltoney, Gortahork","","Donegal","€135,000.00","No","Second-Hand Dwelling house /Apartment",""
"05/04/2011","Ranamona, Annagry","","Donegal","€135,000.00","No","Second-Hand Dwelling house /Apartment",""
"06/04/2011","20 PARKHEAD, KILLYBEGS","","Donegal","€154,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/04/2011","Admiran, Stranorlar","","Donegal","€131,000.00","No","Second-Hand Dwelling house /Apartment",""
"08/04/2011","102  Maple Drive, Church Road, Bundoran","","Donegal","€125,000.00","No","Second-Hand Dwelling house /Apartment",""
"08/04/2011","43 Carraig Fern, Buncrana","","Donegal","€128,000.00","No","Second-Hand Dwelling house /Apartment",""
"08/04/2011","5 Crocknamurleog, Downings","","Donegal","€250,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"08/04/2011","Ticonnail St., Donegal","","Donegal","€230,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/04/2011","13 Sylvan Park, Letterkenny","","Donegal","€125,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/04/2011","42 Beinn Aoibhinn, Letterkenny","","Donegal","€153,000.00","No","Second-Hand Dwelling house /Apartment",""
"12/04/2011","Drumoghill, Manorcunningham","","Donegal","€100,000.00","No","Second-Hand Dwelling house /Apartment",""
"12/04/2011","Saltpans, Rathmullen","","Donegal","€270,000.00","No","Second-Hand Dwelling house /Apartment",""
"13/04/2011","Galwolie, Doochary","","Donegal","€52,000.00","No","Second-Hand Dwelling house /Apartment",""
"13/04/2011","Roxborough Glebe, Kilcar, xxx","","Donegal","€180,000.00","No","Second-Hand Dwelling house /Apartment",""
"14/04/2011","12 Carraig Craobh, Letterkenny","","Donegal","€108,000.00","No","Second-Hand Dwelling house /Apartment",""
"14/04/2011","Navenny Street, Ballybofey","","Donegal","€50,000.00","No","Second-Hand Dwelling house /Apartment",""
"14/04/2011","Tirhomin, Milford","","Donegal","€30,000.00","No","Second-Hand Dwelling house /Apartment",""
"14/04/2011","Umerafad, Creeslough","","Donegal","€60,000.00","No","Second-Hand Dwelling house /Apartment",""
"15/04/2011","53 The Grange, Glencar, Letterkenny","","Donegal","€166,000.00","No","Second-Hand Dwelling house /Apartment",""
"15/04/2011","Pluhogue, Arranmore","","Donegal","€125,000.00","No","Second-Hand Dwelling house /Apartment",""
"15/04/2011","The Ranches, Bohirril, Letterkenny","","Donegal","€193,832.59","No","New Dwelling house /Apartment","greater than 125 sq metres"
"18/04/2011","CROLLY BRIDGE, CROLLY P.O., LETTERKENNY","","Donegal","€40,000.00","No","Second-Hand Dwelling house /Apartment",""
"19/04/2011","Glenfinn Road, Ballybofey","","Donegal","€155,000.00","No","Second-Hand Dwelling house /Apartment",""
"19/04/2011","Straths, Carndonagh","","Donegal","€63,340.00","Yes","Second-Hand Dwelling house /Apartment",""
"20/04/2011","4 Laganore, Portnablagh","","Donegal","€138,000.00","No","Second-Hand Dwelling house /Apartment",""
"20/04/2011","ARDNAGAPPERY, DERRYBEG","","Donegal","€136,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"20/04/2011","Drumard, Frosses","","Donegal","€67,500.00","No","Second-Hand Dwelling house /Apartment",""
"21/04/2011","38 Millbrae Meadows, Carndonagh","","Donegal","€80,000.00","No","Second-Hand Dwelling house /Apartment",""
"21/04/2011","Brinlack, Letterkenny","","Donegal","€95,000.00","No","Second-Hand Dwelling house /Apartment",""
"21/04/2011","KILDONEY GLEBE, BALLYSHANNON","","Donegal","€9,650.00","Yes","Second-Hand Dwelling house /Apartment",""
"23/04/2011","10B Beach Cottages, Rossnowlagh, Co. Donegal","","Donegal","€259,911.89","No","New Dwelling house /Apartment","greater than 125 sq metres"
"26/04/2011","3 Ard Na Greine, Ardara","","Donegal","€158,590.31","No","New Dwelling house /Apartment","greater than 125 sq metres"
"28/04/2011","Killult, Falcarragh","","Donegal","€116,400.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"29/04/2011","ABBEYLANDS, BALLYSHANON","","Donegal","€240,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/05/2011","17 Amalfi Court, Lisnennan Court, Letterkenny","","Donegal","€153,370.04","No","New Dwelling house /Apartment","greater than 125 sq metres"
"04/05/2011","Buncronan, Mountcharles","","Donegal","€75,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/05/2011","LEGNAHOREY, KILMACRENNAN","","Donegal","€105,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/05/2011","Rossnowlagh, Donegal","","Donegal","€240,000.00","No","Second-Hand Dwelling house /Apartment",""
"05/05/2011","Portsalon, Donegal","","Donegal","€195,000.00","No","Second-Hand Dwelling house /Apartment",""
"05/05/2011","SANDHILL, DUNFANAGHY","","Donegal","€150,000.00","No","Second-Hand Dwelling house /Apartment",""
"06/05/2011","3 Crocknamarrow, Magherabeg  Downings","","Donegal","€191,000.00","No","Second-Hand Dwelling house /Apartment",""
"06/05/2011","Massreagh, Kilmacrennan","","Donegal","€136,563.88","No","New Dwelling house /Apartment","greater than 125 sq metres"
"10/05/2011","5 Back Market Square, Moville","","Donegal","€35,537.19","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"10/05/2011","75 rann mor, walk letterkennty","","Donegal","€167,400.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"11/05/2011","12 MULBERRY AVENUE, BUNCRANA","","Donegal","€130,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/05/2011","Apartment No. 7, Back Market Square, Moville","","Donegal","€33,920.70","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"11/05/2011","Ballymaleel, Letterkenny","","Donegal","€60,000.00","No","Second-Hand Dwelling house /Apartment",""
"12/05/2011","1 An Gharran, Glencar, Letterkenny","","Donegal","€83,500.00","No","Second-Hand Dwelling house /Apartment",""
"12/05/2011","2 An Gharran, Glencar, Letterkenny","","Donegal","€83,500.00","No","Second-Hand Dwelling house /Apartment",""
"12/05/2011","6 Stonepark Crescent, Pairc na gCloch, Drumnasillagh  Glenties","","Donegal","€240,000.00","No","New Dwelling house /Apartment","less than 38 sq metres"
"16/05/2011","339 Milltown, Convoy","","Donegal","€52,500.00","No","Second-Hand Dwelling house /Apartment",""
"17/05/2011","10 Millpark Apartments, Donegal Town","","Donegal","€180,000.00","No","Second-Hand Dwelling house /Apartment",""
"18/05/2011","402 BONMAINE, BRIDGEND","","Donegal","€48,000.00","No","Second-Hand Dwelling house /Apartment",""
"18/05/2011","CARRICKATIMPIN, GLENDOWAN CHURCHILL, LETTERKENNY","","Donegal","€80,000.00","No","Second-Hand Dwelling house /Apartment",""
"19/05/2011","Braade, Kincasslagh","","Donegal","€30,000.00","No","Second-Hand Dwelling house /Apartment",""
"20/05/2011","1 SEA VIEW TERRACE, RATHMULLEN","","Donegal","€199,000.00","No","Second-Hand Dwelling house /Apartment",""
"20/05/2011","10 Abbots Wood, Carndonagh","","Donegal","€100,000.00","No","Second-Hand Dwelling house /Apartment",""
"20/05/2011","3 Elmwood Downs, Letterkenny","","Donegal","€35,000.00","No","Second-Hand Dwelling house /Apartment",""
"20/05/2011","Clogher West, Portnoo","","Donegal","€230,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"24/05/2011","DOORABLE, MANORCUNNINGHAM","","Donegal","€80,000.00","No","Second-Hand Dwelling house /Apartment",""
"24/05/2011","No. 3 Sheskinarone, Dungloe","","Donegal","€150,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"26/05/2011","BREAGHY, PARKMORE, PORTNABLAGH","","Donegal","€137,500.00","No","Second-Hand Dwelling house /Apartment",""
"26/05/2011","Cedar House, Crana Road, Buncrana","","Donegal","€182,500.00","No","Second-Hand Dwelling house /Apartment",""
"26/05/2011","Main Street, Dungloe","","Donegal","€84,000.00","No","Second-Hand Dwelling house /Apartment",""
"26/05/2011","No. 4 The Links, Eleven Ballyboes, Greencastle","","Donegal","€205,000.00","No","Second-Hand Dwelling house /Apartment",""
"27/05/2011","112 The Beeches, Ballybofey","","Donegal","€124,500.00","No","Second-Hand Dwelling house /Apartment",""
"27/05/2011","20 Rowan Park, Letterkenny, County Donegal","","Donegal","€75,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"27/05/2011","2A Grianan Par, Burnfoot","","Donegal","€199,185.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"27/05/2011","7 BALLINTEMPLE, FALCARRAGH, LETTERKENNY","","Donegal","€124,000.00","No","New Dwelling house /Apartment","less than 38 sq metres"
"27/05/2011","Carnmore Road, Dungloe","","Donegal","€80,000.00","No","Second-Hand Dwelling house /Apartment",""
"30/05/2011","Cashel, Rossnowlagh Upper","","Donegal","€300,000.00","No","Second-Hand Dwelling house /Apartment",""
"31/05/2011","23 Strand View, Rossnowlagh","","Donegal","€148,898.67","No","Second-Hand Dwelling house /Apartment",""
"31/05/2011","5 Milltown Mews, Pound Street, Rathmullan","","Donegal","€140,000.00","No","Second-Hand Dwelling house /Apartment",""
"31/05/2011","Middle Strip, Saggart Court Lodge, Saggart","","Donegal","€275,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"01/06/2011","16 Taobh an tSruthain, Buncrana","","Donegal","€83,590.79","Yes","Second-Hand Dwelling house /Apartment",""
"01/06/2011","MONFAD, NEWTOWNCUNNINGHAM","","Donegal","€39,590.00","Yes","Second-Hand Dwelling house /Apartment",""
"02/06/2011","310 Colehill, Newtowncunningham","","Donegal","€40,000.00","No","Second-Hand Dwelling house /Apartment",""
"02/06/2011","Carrowcannon, Falcarragh","","Donegal","€120,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"02/06/2011","Keenaghan, Kilmacrennan","","Donegal","€172,500.00","No","Second-Hand Dwelling house /Apartment",""
"02/06/2011","Umgal, Malin Head","","Donegal","€80,000.00","No","Second-Hand Dwelling house /Apartment",""
"03/06/2011","3 Elmwood Downs, Letterkenny","","Donegal","€35,000.00","No","Second-Hand Dwelling house /Apartment",""
"03/06/2011","6 TARA COURT, LETTERKENNY","","Donegal","€117,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/06/2011","Creeslough, Letterkenny, Donegal","","Donegal","€175,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/06/2011","Sallows (Selacis), Letterbarrow, Donegal Town","","Donegal","€90,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"08/06/2011","Derryhasson, Downings","","Donegal","€50,000.00","No","Second-Hand Dwelling house /Apartment",""
"10/06/2011","61 Figary, Fahan","","Donegal","€209,314.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"13/06/2011","10a beach cottages, rossnowlagh","","Donegal","€259,911.90","No","New Dwelling house /Apartment","greater than 125 sq metres"
"13/06/2011","88 Ashfield, Letterkenny","","Donegal","€98,000.00","No","Second-Hand Dwelling house /Apartment",""
"15/06/2011","Bridgend, County Donegal","","Donegal","€125,000.00","No","Second-Hand Dwelling house /Apartment",""
"16/06/2011","Ardmore, Muff","","Donegal","€45,000.00","No","Second-Hand Dwelling house /Apartment",""
"16/06/2011","Tullan Strand, Bundoran","","Donegal","€165,000.00","No","Second-Hand Dwelling house /Apartment",""
"17/06/2011","23 Maple Drive, Bundoran","","Donegal","€110,000.00","No","Second-Hand Dwelling house /Apartment",""
"17/06/2011","53 Blue Cedars, The Parks, Ballybofey","","Donegal","€140,000.00","No","Second-Hand Dwelling house /Apartment",""
"17/06/2011","Craigtown, Fahan","","Donegal","€205,000.00","No","Second-Hand Dwelling house /Apartment",""
"17/06/2011","Toragh, Glen","","Donegal","€530,000.00","No","Second-Hand Dwelling house /Apartment",""
"20/06/2011","4 ard na greine, ardara","","Donegal","€158,591.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"21/06/2011","Lakeview House, Loughanure, Annagry","","Donegal","€70,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"22/06/2011","4 THE BEECHES, BALLYBOFEY, CO. DONEGAL","","Donegal","€75,000.00","No","Second-Hand Dwelling house /Apartment",""
"22/06/2011","Glebe, Downings","","Donegal","€135,000.00","No","Second-Hand Dwelling house /Apartment",""
"22/06/2011","Mullaghaneary, Crossroads, Killygordon","","Donegal","€80,000.00","No","Second-Hand Dwelling house /Apartment",""
"22/06/2011","Rooskey, Quigleys point","","Donegal","€186,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"23/06/2011","Brae Road, Kilmackillvenny, Burnfoot","","Donegal","€247,053.59","No","Second-Hand Dwelling house /Apartment",""
