"Date of Sale (dd/mm/yyyy)","Address","Postal Code","County","Price (€)","Not Full Market Price","Description of Property","Property Size Description"
"05/01/2011","14 Melrose Grove, Killorglin","","Kerry","€175,000.00","No","Second-Hand Dwelling house /Apartment",""
"06/01/2011","Meanus, Killorglin","","Kerry","€150,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"07/01/2011","41 Whitebridge Manor, Ballycasheen, Killarney","","Kerry","€215,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/01/2011","58 fountain court, tralee","","Kerry","€109,450.00","No","Second-Hand Dwelling house /Apartment",""
"07/01/2011","Ardrinane, Annascaul","","Kerry","€70,000.00","No","Second-Hand Dwelling house /Apartment",""
"10/01/2011","Ballyouneen, Lisselton","","Kerry","€90,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/01/2011","3 Radharc Na Mara, The Wood, Dingle","","Kerry","€300,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"11/01/2011","Ballaghaidigue, Listowel","","Kerry","€37,500.00","No","Second-Hand Dwelling house /Apartment",""
"12/01/2011","10 Gortamullen, Kenmare","","Kerry","€122,000.00","No","Second-Hand Dwelling house /Apartment",""
"12/01/2011","13 Countess Grove, Killarney","","Kerry","€230,000.00","No","Second-Hand Dwelling house /Apartment",""
"12/01/2011","6 Glenashe, Langford Street  Killorglin","","Kerry","€385,000.00","No","Second-Hand Dwelling house /Apartment",""
"12/01/2011","Ardoughter, Ballyduff","","Kerry","€15,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"12/01/2011","No 3 Pairc Ardsheelane, Sneem","","Kerry","€168,792.95","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"14/01/2011","23 Cois Chnoic, Monnacapa, Dingle","","Kerry","€264,317.18","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"18/01/2011","Rock Cottage, Darrynane Beg, Caherdaniel","","Kerry","€287,000.00","No","Second-Hand Dwelling house /Apartment",""
"21/01/2011","73 Ladywell, Ballyheigue","","Kerry","€150,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"21/01/2011","9 Sliabh Luachra, Gneeveguilla, Rathmore","","Kerry","€93,000.00","No","Second-Hand Dwelling house /Apartment",""
