"Date of Sale (dd/mm/yyyy)","Address","Postal Code","County","Price (€)","Not Full Market Price","Description of Property","Property Size Description"
"06/01/2011","Main Street, Graignamanagh","","Kilkenny","€36,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/01/2011","Bigwood, Mullinavat","","Kilkenny","€345,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/01/2011","Graigue Upper, Co. Kilkenny","","Kilkenny","€270,000.00","No","Second-Hand Dwelling house /Apartment",""
"13/01/2011","4 barrow meadows, goresbridge","","Kilkenny","€178,855.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"13/01/2011","Ballymack, Cuffsgrange","","Kilkenny","€60,000.00","No","Second-Hand Dwelling house /Apartment",""
"13/01/2011","Miltown, Kilmacow, Co. Kilkenny","","Kilkenny","€184,500.00","No","Second-Hand Dwelling house /Apartment",""
"14/01/2011","Property @ Banse Kilmanagh, Barony of Crannagh Co Kilkenny","","Kilkenny","€100,000.00","No","Second-Hand Dwelling house /Apartment",""
"17/01/2011","2 Hollybank Way, Clongowan, Waterford Road","","Kilkenny","€192,500.00","No","Second-Hand Dwelling house /Apartment",""
"18/01/2011","167 The Sycamores, Freshford Road, Kilkenny","","Kilkenny","€146,000.00","No","Second-Hand Dwelling house /Apartment",""
"20/01/2011","4 Ballygearda, Hugginstown","","Kilkenny","€216,740.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"21/01/2011","46 Ashfield East, Old Golf Links Road, Kilkenny","","Kilkenny","€150,000.00","No","Second-Hand Dwelling house /Apartment",""
"21/01/2011","The Cottage, Castlecomer Road, Dunmore","","Kilkenny","€75,000.00","No","Second-Hand Dwelling house /Apartment",""
"24/01/2011","20 Newtown Terrace, Thomastown, County Kilkenny","","Kilkenny","€34,000.00","No","Second-Hand Dwelling house /Apartment",""
"24/01/2011","7 Ballybought Street, Kilkenny, Kilkenny","","Kilkenny","€56,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/01/2011","24 Whitecastle, Knocktopher","","Kilkenny","€190,000.00","No","Second-Hand Dwelling house /Apartment",""
"26/01/2011","Arderra, Mooncoin","","Kilkenny","€175,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/01/2011","Annamult, Bennettsbridge","","Kilkenny","€165,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/01/2011","Belline, Piltown, Co. Kilkenny","","Kilkenny","€150,000.00","No","Second-Hand Dwelling house /Apartment",""
"31/01/2011","10 LARKFIELD AVENUE, DUKESMEADOWS","","Kilkenny","€240,000.00","No","Second-Hand Dwelling house /Apartment",""
"31/01/2011","18 Beech Park, Castle Road Kilkenny","","Kilkenny","€165,000.00","No","Second-Hand Dwelling house /Apartment",""
"31/01/2011","6 Larkfield Avenue, Dukesmeadows","","Kilkenny","€230,000.00","No","Second-Hand Dwelling house /Apartment",""
"01/02/2011","23 Beechlawns, Johnswell Road, Kilkenny","","Kilkenny","€157,000.00","No","Second-Hand Dwelling house /Apartment",""
"03/02/2011","9 Hillside View, Castlecomer, County Kilkenny","","Kilkenny","€115,000.00","No","Second-Hand Dwelling house /Apartment",""
"03/02/2011","Ballyduff  Thomastown, Described in Folio 4484 Co Kilkenny","","Kilkenny","€81,500.00","No","Second-Hand Dwelling house /Apartment",""
"04/02/2011","11 Parkmore Terrace, Gowran","","Kilkenny","€99,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/02/2011","Apartment 2  Ashurst, College Road, Kilkenny","","Kilkenny","€160,000.00","No","Second-Hand Dwelling house /Apartment",""
"06/02/2011","21 Maidenhill, Kells Road","","Kilkenny","€314,895.04","No","Second-Hand Dwelling house /Apartment",""
"07/02/2011","7 HOLLYBANK GREEN, CLONGOWEN  WATERFORD ROAD, KILKENNY","","Kilkenny","€206,000.00","No","Second-Hand Dwelling house /Apartment",""
"09/02/2011","9 Cedarwood Avenue, Loughboy","","Kilkenny","€162,000.00","No","Second-Hand Dwelling house /Apartment",""
"09/02/2011","CBS Monastry Premises, Tilbury Place, off James Street","","Kilkenny","€800,000.00","No","Second-Hand Dwelling house /Apartment",""
"14/02/2011","Apartment 2, MacDonagh Junction, Kilkenny","","Kilkenny","€160,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"14/02/2011","Apartment 4, MacDonagh Junction, Kilkenny","","Kilkenny","€160,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"14/02/2011","Apartment 67, MacDonagh Junction, Kilkenny","","Kilkenny","€120,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"14/02/2011","Apartment 92, MacDonagh Junction, Kilkenny","","Kilkenny","€160,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"14/02/2011","Filbuckstown, Mooncoin","","Kilkenny","€160,000.00","No","Second-Hand Dwelling house /Apartment",""
"17/02/2011","45 Oak Hill, Castlecomer","","Kilkenny","€143,000.00","No","Second-Hand Dwelling house /Apartment",""
"21/02/2011","APT NO 70 ARDILEA, LOVERS LANE  CASTLECOMER ROAD, KILKENNY","","Kilkenny","€139,207.04","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"22/02/2011","Ballybeg, Rosbercon","","Kilkenny","€165,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/02/2011","3 The Cottage, Kells Village","","Kilkenny","€85,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/02/2011","33 Glenbawn, Castlecomer Road, Kilkenny","","Kilkenny","€255,506.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"25/02/2011","4 ROSEWOOD, JOHNSWELL ROAD, KILKENNY","","Kilkenny","€175,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/02/2011","Haggard, Glenmore","","Kilkenny","€213,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/02/2011","23 Desart Court, Ormonde Street, Kilkenny","","Kilkenny","€125,000.00","No","Second-Hand Dwelling house /Apartment",""
"01/03/2011","1 Wesley Court, William Street, Kilkenny","","Kilkenny","€130,000.00","No","Second-Hand Dwelling house /Apartment",""
"02/03/2011","Grannagh Knock, Kilmacow","","Kilkenny","€280,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/03/2011","West Street, Callan, Kilkenny","","Kilkenny","€20,000.00","No","Second-Hand Dwelling house /Apartment",""
"09/03/2011","24 James Street, Kilkenny","","Kilkenny","€157,500.00","No","Second-Hand Dwelling house /Apartment",""
"09/03/2011","Mangan, The Rower","","Kilkenny","€205,000.00","No","Second-Hand Dwelling house /Apartment",""
"09/03/2011","Tower Road, Jenkinstown","","Kilkenny","€211,436.22","No","Second-Hand Dwelling house /Apartment",""
"10/03/2011","Sandpits Cottage, Piltown","","Kilkenny","€55,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/03/2011","57 Barrack Street, Castlecomer, Co. Kilkenny","","Kilkenny","€150,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/03/2011","KELLYMOUNT, PAULSTOWN","","Kilkenny","€244,000.00","No","Second-Hand Dwelling house /Apartment",""
"14/03/2011","3, Moate Street, Ballyraggett","","Kilkenny","€50,000.00","No","Second-Hand Dwelling house /Apartment",""
