"Date of Sale (dd/mm/yyyy)","Address","Postal Code","County","Price (€)","Not Full Market Price","Description of Property","Property Size Description"
"05/01/2011","Shiphouse, Portarlington","","Laois","€60,000.00","No","Second-Hand Dwelling house /Apartment",""
"06/01/2011","6 Masslough Meadow, Ballinakill","","Laois","€180,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/01/2011","12 Bruach na hAbhann, Maganey, Killeen","","Laois","€165,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"11/01/2011","No. 17 Limekiln, Clough, Ballacolla","","Laois","€124,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"13/01/2011","11 Lalor Way, Fairgreen  Mountmellick Road, Portlaoise","","Laois","€53,500.00","No","Second-Hand Dwelling house /Apartment",""
"13/01/2011","Ballyglishen, Redhill, Abbeyliex","","Laois","€95,000.00","No","Second-Hand Dwelling house /Apartment",""
"14/01/2011","135 Whitefields, Station road, Portarlington","","Laois","€140,000.00","No","Second-Hand Dwelling house /Apartment",""
"17/01/2011","Apt 27  28  29  30, The Green  Kilminchy, Portlaoise","","Laois","€540,000.00","No","Second-Hand Dwelling house /Apartment",""
"17/01/2011","Apt 7  8  9 and 10, The Green  Kilminchy, Portlaoise","","Laois","€540,000.00","No","Second-Hand Dwelling house /Apartment",""
"26/01/2011","70 Ashley Gardens, Portlaoise","","Laois","€148,000.00","No","Second-Hand Dwelling house /Apartment",""
"27/01/2011","17 Woodbrook, Shannon Street, Mountrath","","Laois","€112,000.00","No","Second-Hand Dwelling house /Apartment",""
"31/01/2011","Clough Road, Ballacolla","","Laois","€75,000.00","No","Second-Hand Dwelling house /Apartment",""
"03/02/2011","17 The Crescent, Kilminchy, Portlaoise","","Laois","€165,000.00","No","Second-Hand Dwelling house /Apartment",""
"03/02/2011","64 The Village, Ballylinan, County Laois","","Laois","€74,000.00","No","Second-Hand Dwelling house /Apartment",""
"08/02/2011","Shraleagh House, Levally, Rathdowney","","Laois","€60,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/02/2011","No 105 Laurel Drive, Eskder Hills, Portlaoise","","Laois","€180,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"11/02/2011","No 37 Grenville, Dublin Road, Portlaoise","","Laois","€134,000.00","No","Second-Hand Dwelling house /Apartment",""
"15/02/2011","Canal House, Portarlington","","Laois","€100,000.00","No","Second-Hand Dwelling house /Apartment",""
"17/02/2011","No 2 Harbour Street, Mountmellick","","Laois","€105,000.00","No","Second-Hand Dwelling house /Apartment",""
"23/02/2011","Lough, Portarlington","","Laois","€215,000.00","No","Second-Hand Dwelling house /Apartment",""
"23/02/2011","New  Road, Portlaoise","","Laois","€160,000.00","No","Second-Hand Dwelling house /Apartment",""
"24/02/2011","No 34 Harbour Street, Mountmellick","","Laois","€102,500.00","No","Second-Hand Dwelling house /Apartment",""
"25/02/2011","No 14 Bayview, Mountmellick","","Laois","€125,000.00","No","Second-Hand Dwelling house /Apartment",""
"26/02/2011","1 Railway Mews, Portarlington, Laois","","Laois","€132,500.00","No","Second-Hand Dwelling house /Apartment",""
"01/03/2011","171 Whitefields, Station Road, Portarlington","","Laois","€175,000.00","No","Second-Hand Dwelling house /Apartment",""
"01/03/2011","75 Cross of Newtown, Ballyroan","","Laois","€150,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/03/2011","17 Brockley Park, Stradbally","","Laois","€80,000.00","No","Second-Hand Dwelling house /Apartment",""
"09/03/2011","12 Parnell Crescent, Portlaoise","","Laois","€10,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"09/03/2011","27 Lord Edward Street, Mountmellick","","Laois","€100,000.00","No","Second-Hand Dwelling house /Apartment",""
"14/03/2011","3 Clonlusk Abbey, Portlaoise","","Laois","€105,775.33","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"14/03/2011","4 Devesci Terrace, Main Street, Abbeyleix","","Laois","€127,000.00","No","Second-Hand Dwelling house /Apartment",""
"18/03/2011","'Breffni', Station Road, Portarlington","","Laois","€85,000.00","No","Second-Hand Dwelling house /Apartment",""
"23/03/2011","Townhouse No 6  Block 5, The Heritage Golf & Spa Resort, Killenard","","Laois","€350,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"25/03/2011","357 Market Mews, Maryborough Village, Portlaoise","","Laois","€100,000.00","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
