"Date of Sale (dd/mm/yyyy)","Address","Postal Code","County","Price (€)","Not Full Market Price","Description of Property","Property Size Description"
"07/01/2011","Cormagalva, Newtowncashel","","Longford","€85,500.00","No","Second-Hand Dwelling house /Apartment",""
"07/01/2011","Kiltycreevagh, Ballinamuck","","Longford","€125,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/01/2011","Moatfarrell, Edgeworthstown","","Longford","€85,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/01/2011","No 2 Convent View, Ardagh","","Longford","€97,000.00","No","Second-Hand Dwelling house /Apartment",""
"14/01/2011","Monadarragh, Edgeworthstown","","Longford","€187,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"15/01/2011","1 Ardnacassa Lawns, Longford","","Longford","€149,000.00","No","Second-Hand Dwelling house /Apartment",""
"18/01/2011","Corlea, Enybegs, Longford","","Longford","€165,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/01/2011","Granard Road, Edgeworthstown","","Longford","€230,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/02/2011","4 Glasheen, Drumlish","","Longford","€189,427.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"09/02/2011","37 templemichael glebe, longford","","Longford","€168,000.00","No","Second-Hand Dwelling house /Apartment",""
"10/02/2011","6 Chestnut Close, Clonblat","","Longford","€99,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"11/02/2011","Coolamber Manor Demesne, Lisryan","","Longford","€200,000.00","No","Second-Hand Dwelling house /Apartment",""
"14/02/2011","34 Mostrim Oaks, Tinnynar, Edgeworthstown","","Longford","€50,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"14/02/2011","35 Mostrim Oaks, Tinnynar, Edgeworthstown","","Longford","€30,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"14/02/2011","36 Mostrim Oaks, Tinnynar, Edgeworthstown","","Longford","€30,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"14/02/2011","37 Mostrim Oaks, Tinnynar, Edgeworthstown","","Longford","€40,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"14/02/2011","38 Mostrim Oaks, Tinnynar, Edgeworthstown","","Longford","€40,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
