"Date of Sale (dd/mm/yyyy)","Address","Postal Code","County","Price (€)","Not Full Market Price","Description of Property","Property Size Description"
"06/01/2011","16 Ocean View, The Quay, Westport","","Mayo","€179,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/01/2011","25 Carrowmore Meadows, Carrowmore, Knock","","Mayo","€209,868.36","No","New Dwelling house /Apartment","less than 38 sq metres"
"07/01/2011","Cloghans, Ballina","","Mayo","€120,000.00","No","Second-Hand Dwelling house /Apartment",""
"10/01/2011","Graughill, Pullathomas, Ballina","","Mayo","€150,000.00","No","Second-Hand Dwelling house /Apartment",""
"12/01/2011","doonamona, palmerstown, killala","","Mayo","€95,500.00","No","Second-Hand Dwelling house /Apartment",""
"13/01/2011","7 Cois Abhainn, Westport","","Mayo","€161,500.00","Yes","Second-Hand Dwelling house /Apartment",""
"17/01/2011","Carrowbaun, Aughamore, Ballyhaunis","","Mayo","€56,000.00","No","Second-Hand Dwelling house /Apartment",""
"20/01/2011","Innisbiggle Island, Achill","","Mayo","€145,000.00","No","Second-Hand Dwelling house /Apartment",""
"21/01/2011","20 Fr Angelus Park, westport","","Mayo","€125,000.00","No","Second-Hand Dwelling house /Apartment",""
"21/01/2011","3 LAKEVIEW, AUGHAGOWER, WESTPORT","","Mayo","€276,500.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"21/01/2011","74 Quignalecka, Ballina","","Mayo","€163,436.12","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"24/01/2011","Riverview, Cong","","Mayo","€120,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/01/2011","55 Carrowmore Meadows, Carrowmore, Knock","","Mayo","€99,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"25/01/2011","Bellass, Foxford","","Mayo","€255,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/01/2011","Carn, Midfield, Swinford","","Mayo","€80,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/01/2011","cockle strand, murrisk, county mayo","","Mayo","€510,000.00","No","Second-Hand Dwelling house /Apartment",""
"26/01/2011","13 An Cladrach, Ballinrobe","","Mayo","€90,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"26/01/2011","19 CINNAMON WHARF, THE QUAY, WESTPORT","","Mayo","€150,000.00","No","Second-Hand Dwelling house /Apartment",""
"26/01/2011","Lisduvoge, Knockmore, Ballina","","Mayo","€170,000.00","No","Second-Hand Dwelling house /Apartment",""
"27/01/2011","No.60 Convent Hill Crescent, Ballina","","Mayo","€100,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/01/2011","37 Rathbawn Drive, Castlebar","","Mayo","€180,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/01/2011","Ballinacostello, Agamore, Ballyhaunis","","Mayo","€142,500.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"28/01/2011","Carrabaun, Westport","","Mayo","€345,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"28/01/2011","RINNANEY, FOXFORD, MAYO","","Mayo","€265,000.00","No","Second-Hand Dwelling house /Apartment",""
"31/01/2011","Cultibo, Kiltimagh","","Mayo","€55,000.00","No","Second-Hand Dwelling house /Apartment",""
"01/02/2011","48 Fortlands, Castlebar","","Mayo","€205,000.00","No","Second-Hand Dwelling house /Apartment",""
"01/02/2011","Apt 12 Riverside Court, Louisburgh","","Mayo","€211,454.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"01/02/2011","Churchfield, Knock","","Mayo","€386,000.00","No","Second-Hand Dwelling house /Apartment",""
"01/02/2011","No 4 Pound Street, Foxford","","Mayo","€65,000.00","No","Second-Hand Dwelling house /Apartment",""
"03/02/2011","Dringeen, Cong","","Mayo","€82,500.00","No","Second-Hand Dwelling house /Apartment",""
"03/02/2011","Lough Hill, Tullycommons, Castlebar","","Mayo","€180,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/02/2011","14 The Fairways, Castlebar","","Mayo","€202,500.00","No","Second-Hand Dwelling house /Apartment",""
"04/02/2011","ardowen, belmullet","","Mayo","€100,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/02/2011","Fahy More, Westport","","Mayo","€159,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"07/02/2011","Ugool, Kilmovee","","Mayo","€30,750.00","Yes","Second-Hand Dwelling house /Apartment",""
"08/02/2011","No. 202 The Harbour Mill, The Quay, Westport","","Mayo","€123,500.00","No","Second-Hand Dwelling house /Apartment",""
"10/02/2011","Carrabaun, Westport","","Mayo","€110,000.00","No","Second-Hand Dwelling house /Apartment",""
"14/02/2011","55 Westlands, Westport","","Mayo","€220,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"14/02/2011","Killeen, Castlehill, Ballina Co.Mayo","","Mayo","€185,000.00","No","Second-Hand Dwelling house /Apartment",""
"15/02/2011","Aghoos, Pullathomas, Ballina","","Mayo","€76,000.00","No","Second-Hand Dwelling house /Apartment",""
"16/02/2011","7 Belvedere Court, Newport Road, Castlebar","","Mayo","€160,000.00","No","Second-Hand Dwelling house /Apartment",""
"16/02/2011","Apt 10 Ashwood Meadows, Ballinrobe Rd, Westport","","Mayo","€162,995.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"16/02/2011","Castle Street, Castlebar","","Mayo","€51,250.00","No","Second-Hand Dwelling house /Apartment",""
"22/02/2011","Gurteen, Shrule","","Mayo","€80,500.00","No","Second-Hand Dwelling house /Apartment",""
"23/02/2011","Cullen, Attymachugh, Foxford","","Mayo","€36,000.00","No","Second-Hand Dwelling house /Apartment",""
"24/02/2011","13 Church View, Swinford, County Mayo","","Mayo","€90,000.00","No","Second-Hand Dwelling house /Apartment",""
"24/02/2011","44 St. Muredachs Terrace, Ballina, County Mayo","","Mayo","€100,000.00","No","Second-Hand Dwelling house /Apartment",""
"24/02/2011","High Street, Kilkelly","","Mayo","€35,000.00","No","Second-Hand Dwelling house /Apartment",""
