"Date of Sale (dd/mm/yyyy)","Address","Postal Code","County","Price (€)","Not Full Market Price","Description of Property","Property Size Description"
"06/01/2011","Bettystown Road, Donacarney","","Meath","€222,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/01/2011","5 Leigh Valley, Ratoath","","Meath","€382,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/01/2011","7 Steeplechase Court, Ratoath","","Meath","€137,196.56","No","New Dwelling house /Apartment","less than 38 sq metres"
"10/01/2011","56 Steeplechase Hill, Ratoath","","Meath","€170,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"10/01/2011","90 Bailis manor, Athlumney, Navan","","Meath","€245,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/01/2011","2 Westfield, Bective Street, Kells","","Meath","€149,779.73","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"11/01/2011","5 Elm Grove, Rockfield Road, Kells","","Meath","€165,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/01/2011","93 Alderbrook Glen, Ashbourne","","Meath","€350,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/01/2011","Balreask, Navan","","Meath","€240,000.00","No","Second-Hand Dwelling house /Apartment",""
"13/01/2011","18 NEWCASTLE WOODS AVENUE, ENFIELD","","Meath","€198,238.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"13/01/2011","44 High Meadows, Duleek","","Meath","€200,000.00","No","Second-Hand Dwelling house /Apartment",""
"13/01/2011","9 bective house, beaufort place, navan","","Meath","€103,718.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"14/01/2011","12 Carne Hill, Johnstown, Navan","","Meath","€270,000.00","No","Second-Hand Dwelling house /Apartment",""
"14/01/2011","12 Maple drive, Archerstown Wood, Ashbourne","","Meath","€303,048.45","No","New Dwelling house /Apartment","less than 38 sq metres"
"18/01/2011","Apartment 14 The Ashes, Ashbourne","","Meath","€185,000.00","No","Second-Hand Dwelling house /Apartment",""
"18/01/2011","Apartment 5 The Ashes, Ashbourne","","Meath","€185,000.00","No","Second-Hand Dwelling house /Apartment",""
"18/01/2011","MAYBURY LODGE, ARDBRACCAN, NAVAN","","Meath","€280,000.00","No","Second-Hand Dwelling house /Apartment",""
"19/01/2011","8 The Lawn, Highlands, Drogheda","","Meath","€190,000.00","No","Second-Hand Dwelling house /Apartment",""
"20/01/2011","Apt 33  Castlemartin Close, Bettystown","","Meath","€149,780.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"20/01/2011","Dollanstown, Kilcock","","Meath","€165,000.00","No","Second-Hand Dwelling house /Apartment",""
"21/01/2011","19 Tara Court, Trim Road, Navan","","Meath","€176,000.00","No","Second-Hand Dwelling house /Apartment",""
"21/01/2011","20 The Elms, Mill Farm, Dunboyne","","Meath","€435,000.00","No","Second-Hand Dwelling house /Apartment",""
"21/01/2011","7 Knightsbrook Crescent, Trim","","Meath","€250,000.00","No","Second-Hand Dwelling house /Apartment",""
"21/01/2011","77 Clonkeen, Ratoath","","Meath","€330,000.00","No","Second-Hand Dwelling house /Apartment",""
"21/01/2011","APARTMENT 15 STEEPLECHASE COURT, RATOATH","","Meath","€179,295.15","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"24/01/2011","70 Steeplechase Court, Ratoath","","Meath","€205,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"24/01/2011","Holly House, Moynalty, Kells","","Meath","€170,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/01/2011","43 Bailis Manor, Navan","","Meath","€195,000.00","No","Second-Hand Dwelling house /Apartment",""
"26/01/2011","BALLINVALLEY, OLDCASTLE","","Meath","€50,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"26/01/2011","Meath Hill, Drumconrath, Meath","","Meath","€93,000.00","No","Second-Hand Dwelling house /Apartment",""
"27/01/2011","24 Brookville, Hunter's Lane, Ashbourne","","Meath","€100,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"27/01/2011","4 PARK RISE, GRANGERATH, DROGHEDA","","Meath","€305,000.00","No","Second-Hand Dwelling house /Apartment",""
"27/01/2011","7Cedar Road, Archerstown Wood, Ashbourne","","Meath","€265,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"28/01/2011","105  Foxlodge Manor, Ratoath","","Meath","€140,250.00","No","Second-Hand Dwelling house /Apartment",""
"28/01/2011","39 fairyhouse lodge, ratoath","","Meath","€520,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/01/2011","Cloran Road, Athboy","","Meath","€85,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/01/2011","Hillview, Mulgeeth, Enfield","","Meath","€327,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/01/2011","Kiltale, Dunsany","","Meath","€200,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/01/2011","No. 42 Cedar Road, Archerstown Wood, Ashbourne","","Meath","€382,290.75","No","New Dwelling house /Apartment","greater than 125 sq metres"
"28/01/2011","Rossdaragh House, Lagore Road, Dunshaughlin","","Meath","€590,000.00","No","Second-Hand Dwelling house /Apartment",""
"31/01/2011","4 Oakleigh, Trim Road, Longwood","","Meath","€112,068.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"02/02/2011","11 Tara Court Road, Proudstown Road, Navan","","Meath","€182,000.00","No","Second-Hand Dwelling house /Apartment",""
"02/02/2011","22 Knightsbrook Park, Dublin Road, Trim","","Meath","€237,885.46","No","New Dwelling house /Apartment","greater than 125 sq metres"
"03/02/2011","1 Summerseat Crescent, Clonee","","Meath","€180,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"03/02/2011","42 Millbourne Crescent, Ashbourne, Co  Meath","","Meath","€255,000.00","No","New Dwelling house /Apartment","less than 38 sq metres"
"03/02/2011","Rosnaree, Beaupark, Navan","","Meath","€525,000.00","No","Second-Hand Dwelling house /Apartment",""
