"Date of Sale (dd/mm/yyyy)","Address","Postal Code","County","Price (€)","Not Full Market Price","Description of Property","Property Size Description"
"10/01/2011","9 Ascail Rois, Carrickmacross","","Monaghan","€160,066.00","No","New Dwelling house /Apartment","less than 38 sq metres"
"21/01/2011","24 Belgium Square, Monaghan","","Monaghan","€85,500.00","No","Second-Hand Dwelling house /Apartment",""
"25/01/2011","3 Corcrummans, Donaghmoyne, Co. Monaghan","","Monaghan","€215,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"31/01/2011","Drumgoan, Carrickmacross","","Monaghan","€180,000.00","No","Second-Hand Dwelling house /Apartment",""
"02/02/2011","30 Inver Park, Carrickmacross","","Monaghan","€147,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/02/2011","18 High Street, Monaghan","","Monaghan","€60,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/02/2011","market square, castleblayney","","Monaghan","€50,000.00","No","Second-Hand Dwelling house /Apartment",""
"10/02/2011","Dunaree Latin, Laragh, Castleblayney","","Monaghan","€240,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/02/2011","36 Oriel Park, Emyvale","","Monaghan","€110,000.00","No","Second-Hand Dwelling house /Apartment",""
"14/02/2011","42 Drummond Etra, Carrickmacross","","Monaghan","€105,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"17/02/2011","22 Mullach Glas, Monaghan","","Monaghan","€116,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"18/02/2011","24 Patrician Drive, Carrickmacross, Co. Monaghan","","Monaghan","€135,000.00","No","Second-Hand Dwelling house /Apartment",""
"18/02/2011","27 THORNDALE, CASTLEBLAYNEY","","Monaghan","€81,056.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"21/02/2011","Drumbroagh, Carrickmacross","","Monaghan","€215,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"21/02/2011","Dunaree, Laragh, Castleblayney","","Monaghan","€200,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"28/02/2011","10 Ros Cluain, The Lurgans, Carrickmacross","","Monaghan","€151,321.59","No","New Dwelling house /Apartment","less than 38 sq metres"
"28/02/2011","Seaveagh, Glaslough","","Monaghan","€70,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/03/2011","77 Drumbear Wood, Monaghan","","Monaghan","€210,000.00","No","Second-Hand Dwelling house /Apartment",""
"09/03/2011","3 The Birches, Lough Na Glack, Carrickmacross","","Monaghan","€111,618.94","No","New Dwelling house /Apartment","less than 38 sq metres"
"10/03/2011","13 Lios a Ghoirtin, Clones","","Monaghan","€132,159.00","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"10/03/2011","47 Cloughvalley, Carrickmacross","","Monaghan","€90,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/03/2011","Kilkitt, Shantonagh, Castleblayney","","Monaghan","€250,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"11/03/2011","Number 2, Carrowbarra Island, Smithboro","","Monaghan","€105,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"15/03/2011","Annacroff House, Carrickmacross","","Monaghan","€500,000.00","No","Second-Hand Dwelling house /Apartment",""
"22/03/2011","The Cottage, Killabrick","","Monaghan","€80,000.00","No","Second-Hand Dwelling house /Apartment",""
"24/03/2011","Corlea, Carrickmacross","","Monaghan","€50,000.00","No","Second-Hand Dwelling house /Apartment",""
"01/04/2011","17 Roslea Road, Clones","","Monaghan","€30,000.00","No","Second-Hand Dwelling house /Apartment",""
"08/04/2011","88 Drumbear Wood, Cootehill Road, Monaghan","","Monaghan","€163,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/04/2011","15 Drummond Radhairc, Dundalk Road, Carrickmacross","","Monaghan","€230,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"13/04/2011","Moys, Emyvale","","Monaghan","€193,000.00","No","Second-Hand Dwelling house /Apartment",""
"20/04/2011","32 Thorndale, Castleblayney","","Monaghan","€109,559.47","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"20/04/2011","No. 1 Tower View, Crossmoyle, Cara St. Clones","","Monaghan","€99,916.30","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"20/04/2011","No. 2 Tower View, Crossmoyle, Cara St.  Clones","","Monaghan","€96,916.30","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"20/04/2011","No. 3 Tower View, Crossmoyle, Cara St. Clones","","Monaghan","€96,196.30","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"20/04/2011","No. 4 Tower View, Crossmoyle, Cara St. Clones","","Monaghan","€96,196.30","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"20/04/2011","No. 8 Tower View, Crossmoyle, Cara St. Clones","","Monaghan","€96,196.30","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"05/05/2011","GOLAN, TYDAVNET","","Monaghan","€102,000.00","No","Second-Hand Dwelling house /Apartment",""
"05/05/2011","Knockagolis, Castleblayney","","Monaghan","€100,000.00","No","Second-Hand Dwelling house /Apartment",""
"06/05/2011","20 The Elms, Lough na Glack, Carrickmacross","","Monaghan","€97,522.02","No","New Dwelling house /Apartment","less than 38 sq metres"
"09/05/2011","3 Carrowbarra Island, Smithboro","","Monaghan","€100,837.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"09/05/2011","No. 3 Sruth An Iuir, Oram, Castleblayney","","Monaghan","€158,150.00","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"09/05/2011","No. 4 Struth an Iuir, Oram, Castleblayney","","Monaghan","€158,150.00","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"12/05/2011","35 Thorndale, Castleblayney, County Monaghan","","Monaghan","€118,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"12/05/2011","Carrickartagh, corduff, carrickmacross","","Monaghan","€135,000.00","No","Second-Hand Dwelling house /Apartment",""
"13/05/2011","14 COOLSHANNAGH VIEW, COOLSHANNAGH, MONAGHAN","","Monaghan","€140,000.00","No","Second-Hand Dwelling house /Apartment",""
"13/05/2011","43 Cois Locha, Doohamlet, Castleblayney","","Monaghan","€90,000.00","No","Second-Hand Dwelling house /Apartment",""
"17/05/2011","Dunfelimy, Annyalla, Castleblayney","","Monaghan","€33,000.00","No","Second-Hand Dwelling house /Apartment",""
"17/05/2011","Grigg, Doohamlet, Castleblayney","","Monaghan","€85,000.00","No","Second-Hand Dwelling house /Apartment",""
"17/05/2011","Mahon, Latton, Castleblayney","","Monaghan","€18,750.00","No","Second-Hand Dwelling house /Apartment",""
"19/05/2011","Leonsbeg, Carrickmacross","","Monaghan","€105,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/05/2011","6 and 7 an t-Uachtarlann, Clones","","Monaghan","€160,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/05/2011","Ballycrannog, Castleshane","","Monaghan","€100,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"27/05/2011","Halftate, Carrickmacross","","Monaghan","€229,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/06/2011","Mount Lodge, Lisnalong P.O.","","Monaghan","€14,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"09/06/2011","21 Mullach Glas Crescent, Monaghan","","Monaghan","€89,950.00","No","New Dwelling house /Apartment","less than 38 sq metres"
"10/06/2011","35 O Duffy, Terrace, Ballybay","","Monaghan","€70,000.00","No","Second-Hand Dwelling house /Apartment",""
"14/06/2011","Candlefort, Inniskeen","","Monaghan","€60,000.00","No","Second-Hand Dwelling house /Apartment",""
"15/06/2011","50 Mullach Glas Crescent, Monaghan","","Monaghan","€125,000.00","No","New Dwelling house /Apartment","less than 38 sq metres"
"15/06/2011","AGHADRUMKEEN, CORRAGARRY, AGHABOG","","Monaghan","€75,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"16/06/2011","34 Choill Darach, Castleblayney","","Monaghan","€165,000.00","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"16/06/2011","No. 78 Choill Darach, Castleblayney","","Monaghan","€175,000.00","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"18/06/2011","TULLYGONEY, TYDAVNET","","Monaghan","€70,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"18/06/2011","TULLYGONEY, TYDAVNET","","Monaghan","€70,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"21/06/2011","altarate, clones","","Monaghan","€850,000.00","No","Second-Hand Dwelling house /Apartment",""
"22/06/2011","cormeen lodge, cootehill rd, monaghan","","Monaghan","€70,500.00","No","Second-Hand Dwelling house /Apartment",""
"23/06/2011","Dunsrim, Scotshouse, Monaghan","","Monaghan","€64,000.00","No","Second-Hand Dwelling house /Apartment",""
"23/06/2011","Sra, Ballybay","","Monaghan","€40,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"24/06/2011","21 DEVIN REILLY TERRACE, MONAGHAN","","Monaghan","€60,000.00","No","Second-Hand Dwelling house /Apartment",""
"27/06/2011","18 Village Square, Glaslough","","Monaghan","€390,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"28/06/2011","No 3 Westenra Terrace, Monaghan","","Monaghan","€380,000.00","No","Second-Hand Dwelling house /Apartment",""
"29/06/2011","44 BEECHGROVE LAWNS, MONAGHAN","","Monaghan","€57,500.00","Yes","Second-Hand Dwelling house /Apartment",""
"01/07/2011","Mahon, Latton, Castleblayney","","Monaghan","€40,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/07/2011","No. 11 Cluain Daragh, Newbliss","","Monaghan","€59,391.00","Yes","Second-Hand Dwelling house /Apartment",""
"14/07/2011","25 Thorndale, Castleblayney","","Monaghan","€100,441.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"14/07/2011","CARRICKADERRY, CLONTIBRET","","Monaghan","€390,000.00","No","Second-Hand Dwelling house /Apartment",""
"21/07/2011","14 Tobar an Radhairc, Corr an Tobair  Ballybay Road, Carrickmacross","","Monaghan","€214,537.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"21/07/2011","26 Thorndale, Bree, Castleblayney","","Monaghan","€110,000.00","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"22/07/2011","CROSSHUGH & FERAGH, MONAGHAN","","Monaghan","€50,000.00","No","Second-Hand Dwelling house /Apartment",""
"22/07/2011","Nafferty, Ballybay road, Carrickmacross","","Monaghan","€95,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/07/2011","105 Coill Darach, Castleblayney","","Monaghan","€170,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/07/2011","Moneyglen, Broomfield, Castleblayney","","Monaghan","€207,049.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"29/07/2011","Dernamuck, Emyvale","","Monaghan","€132,159.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"12/08/2011","Annagleve, Castleblayney","","Monaghan","€290,000.00","No","Second-Hand Dwelling house /Apartment",""
"24/08/2011","Cashell, Annyalla","","Monaghan","€35,000.00","No","Second-Hand Dwelling house /Apartment",""
"30/08/2011","18 Tully, Monaghan","","Monaghan","€104,000.00","No","Second-Hand Dwelling house /Apartment",""
"31/08/2011","Drollagh, Castleblayney","","Monaghan","€85,000.00","No","Second-Hand Dwelling house /Apartment",""
"06/09/2011","TIRAVERA, GLASLOUGH","","Monaghan","€45,000.00","No","Second-Hand Dwelling house /Apartment",""
"12/09/2011","DOOR 16 (SITE34), THE BIRCHES LOUGH NA GLACK, CARRICKMACROSS","","Monaghan","€237,885.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"15/09/2011","16 drummond radhairc, carrickmacross","","Monaghan","€180,616.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"21/09/2011","29 Riverside, Coolshannagh, Monaghan","","Monaghan","€128,000.00","No","Second-Hand Dwelling house /Apartment",""
