"Date of Sale (dd/mm/yyyy)","Address","Postal Code","County","Price (€)","Not Full Market Price","Description of Property","Property Size Description"
"06/01/2011","Creggameen, Trien, Castlerea","","Roscommon","€152,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/01/2011","2 Ard Na Ri, Galway Road, Roscommon","","Roscommon","€30,000.00","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"14/01/2011","6 Circular Road, Roscommon","","Roscommon","€134,000.00","No","Second-Hand Dwelling house /Apartment",""
"14/01/2011","Leamore, Ballymoe","","Roscommon","€30,000.00","No","Second-Hand Dwelling house /Apartment",""
"17/01/2011","Glanduff, Kiltoom, Athlone","","Roscommon","€192,500.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"20/01/2011","Attirory, Creagh, Ballinasloe","","Roscommon","€208,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"20/01/2011","Mount Druid, Ballinagare","","Roscommon","€110,000.00","No","Second-Hand Dwelling house /Apartment",""
"24/01/2011","18 Barleyfields, Bealnamullia, Athlone","","Roscommon","€213,800.00","No","Second-Hand Dwelling house /Apartment",""
"24/01/2011","Athleague, Roscommon, Roscommon","","Roscommon","€114,537.45","No","New Dwelling house /Apartment","greater than 125 sq metres"
"25/01/2011","39 Westview, Cloonfad","","Roscommon","€160,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/01/2011","Shalom, Barrybeg Berries, Athlone","","Roscommon","€170,000.00","No","Second-Hand Dwelling house /Apartment",""
"09/02/2011","Knockroe, Castlerea, Roscommon","","Roscommon","€70,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/02/2011","Cloonageeragh, Kilrooskey","","Roscommon","€270,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/02/2011","Toberpatrick, Strokestown","","Roscommon","€130,000.00","No","Second-Hand Dwelling house /Apartment",""
"16/02/2011","Racecourse Road, Roscommon","","Roscommon","€100,000.00","No","Teach/?ras?n C?naithe Ath?imhe",""
"18/02/2011","33  Marian Road, Boyle","","Roscommon","€80,000.00","No","Second-Hand Dwelling house /Apartment",""
"22/02/2011","Cloontowart, Lisacul, Castlerea","","Roscommon","€61,000.00","No","Second-Hand Dwelling house /Apartment",""
"23/02/2011","7 Ard Na Ri, Galway Road, Roscommon","","Roscommon","€30,000.00","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"24/02/2011","cORBO, Kilrooskey","","Roscommon","€35,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/02/2011","monksland, athlone","","Roscommon","€120,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/02/2011","Lisnamucklagh, Dysart","","Roscommon","€186,500.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"28/02/2011","No 1 Hillstreet, Carrickonshannon","","Roscommon","€130,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/02/2011","No 2 Hillstreet, Carrickonshannon","","Roscommon","€130,000.00","No","Second-Hand Dwelling house /Apartment",""
"01/03/2011","Killeenboy, Kilteevan, Roscommon","","Roscommon","€150,000.00","No","Second-Hand Dwelling house /Apartment",""
"02/03/2011","3 Forest Park Manor, Boyle","","Roscommon","€177,535.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"02/03/2011","Lisnagroob, Granlahan, Ballinlough","","Roscommon","€75,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/03/2011","11 Oldwood, Golf Links Road, Roscommon","","Roscommon","€114,537.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"04/03/2011","drumcliffe, barrymore, kiltoom  athlone","","Roscommon","€407,500.00","No","Second-Hand Dwelling house /Apartment",""
"04/03/2011","Listhomasroe, Castlerea","","Roscommon","€60,000.00","No","Second-Hand Dwelling house /Apartment",""
"08/03/2011","Cloonaugh, Carrowbehy, Castlerea","","Roscommon","€90,000.00","No","Second-Hand Dwelling house /Apartment",""
"08/03/2011","Rainbow Cottage, Ardkeel, Ballybride","","Roscommon","€60,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/03/2011","54 Oldwood, Athlone Road, Roscommon","","Roscommon","€147,000.00","No","Second-Hand Dwelling house /Apartment",""
"14/03/2011","4 Rundale Cottages, Cleaheen, Carrick-on-Shannon","","Roscommon","€100,000.00","No","Second-Hand Dwelling house /Apartment",""
"22/03/2011","34 Forest Mill Way, Bealnamulla, Athlone","","Roscommon","€199,950.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"22/03/2011","9 Corraun Village, Racecourse Road, Roscommon","","Roscommon","€158,590.30","No","New Dwelling house /Apartment","greater than 125 sq metres"
"23/03/2011","9 Oldwood, Golf Links Road, Roscommon","","Roscommon","€114,538.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"25/03/2011","Cornabanny, Cloonfad","","Roscommon","€45,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/03/2011","14 The Maples, Strokestown, Roscommon","","Roscommon","€127,753.28","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
