"Date of Sale (dd/mm/yyyy)","Address","Postal Code","County","Price (€)","Not Full Market Price","Description of Property","Property Size Description"
"04/01/2011","22 Hunters Avenue, Castlegrange, Williamstown Road","","Waterford","€118,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/01/2011","18 Mount Pleasant Drive, Mount Pleasant, Waterford","","Waterford","€215,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/01/2011","Lagnagoushee, Ring, Dungarvan","","Waterford","€260,500.00","No","Second-Hand Dwelling house /Apartment",""
"11/01/2011","Apartment 32  Block A, Mount Suir Manor, Gracedieu","","Waterford","€74,889.87","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"12/01/2011","1 Derrynane Close, Powerscourt","","Waterford","€172,000.00","No","Second-Hand Dwelling house /Apartment",""
"13/01/2011","1 ATLANTIC VIEW, TRAMORE","","Waterford","€250,000.00","No","Second-Hand Dwelling house /Apartment",""
"14/01/2011","24 Beech Grove, Greenfields, Old Tramore Road","","Waterford","€155,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"17/01/2011","27 Beech Grove, Greenfields, Old Tramore road","","Waterford","€179,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"17/01/2011","34 Doyle Street, Waterford","","Waterford","€50,000.00","No","Second-Hand Dwelling house /Apartment",""
"17/01/2011","44 PHEASANT WALK, COLLINS AVENUE","","Waterford","€193,000.00","No","Second-Hand Dwelling house /Apartment",""
"17/01/2011","64 Broad Street, Waterford","","Waterford","€58,000.00","No","Second-Hand Dwelling house /Apartment",""
"17/01/2011","Number 1, Denes Yard, Cappoquin","","Waterford","€101,321.59","No","New Dwelling house /Apartment","greater than 125 sq metres"
"17/01/2011","Number 2. Denes Yard, Cappoquin","","Waterford","€101,321.59","No","New Dwelling house /Apartment","greater than 125 sq metres"
"21/01/2011","18 Oak Road, Viewmount, Waterford","","Waterford","€170,000.00","No","Second-Hand Dwelling house /Apartment",""
"21/01/2011","28 New Street, Lismore","","Waterford","€95,000.00","No","Second-Hand Dwelling house /Apartment",""
"24/01/2011","18 An Cruachan, Abbeyside, Dungarvan","","Waterford","€205,000.00","No","Second-Hand Dwelling house /Apartment",""
"24/01/2011","St. Marys, Grantstown","","Waterford","€370,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/01/2011","13 PEBBLE PLACE, PEBBLE BEACH, TRAMORE","","Waterford","€50,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/01/2011","22 Beech Grove, Greenfields, Old Tramore Road","","Waterford","€179,500.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"25/01/2011","8 WILLOWBROOK, TALLOW","","Waterford","€150,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/01/2011","Dunabrattin, Annestown","","Waterford","€145,000.00","No","Second-Hand Dwelling house /Apartment",""
"26/01/2011","21 Booreenatra, Dungarvan","","Waterford","€136,000.00","No","Second-Hand Dwelling house /Apartment",""
"26/01/2011","40  Castlewoods, Ballinamona, Old Tramore Road","","Waterford","€400,000.00","No","Second-Hand Dwelling house /Apartment",""
"26/01/2011","Stradbally, Co. Waterford","","Waterford","€300,000.00","No","Second-Hand Dwelling house /Apartment",""
"27/01/2011","Kilineen East, Dungarvan","","Waterford","€130,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"28/01/2011","19 Tycor Avenue, Waterford","","Waterford","€105,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/01/2011","83 Congress Place, Waterford, Waterford","","Waterford","€60,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/01/2011","88 Cul Rua, Aglish","","Waterford","€149,339.20","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"31/01/2011","5 The Cottages, Ballymabin, Dunmore East","","Waterford","€180,000.00","No","Second-Hand Dwelling house /Apartment",""
"02/02/2011","CANCARA FARMHOUSE, LISMORE","","Waterford","€370,000.00","No","Second-Hand Dwelling house /Apartment",""
"03/02/2011","136 BALLYBEG DRIVE, WATERFORD","","Waterford","€20,000.00","No","Second-Hand Dwelling house /Apartment",""
"03/02/2011","26  Park House, Canada Street","","Waterford","€60,000.00","No","Second-Hand Dwelling house /Apartment",""
