"Date of Sale (dd/mm/yyyy)","Address","Postal Code","County","Price (€)","Not Full Market Price","Description of Property","Property Size Description"
"05/01/2011","16 The Moorings, Ballymahon Road, Athlone","","Wicklow","€155,000.00","No","Second-Hand Dwelling house /Apartment",""
"05/01/2011","20 Milltown Gate, Burgage Mor, Blessington","","Wicklow","€299,000.00","No","New Dwelling house /Apartment","less than 38 sq metres"
"06/01/2011","1 Glenbrook Hall, Mount Kennedy Town Centre, Newtownmountkennedy","","Wicklow","€172,566.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"06/01/2011","3 Glenbrook Hall, Mount Kennedy Town Centre, Newtownmountkennedy","","Wicklow","€149,557.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"06/01/2011","4 Gelnbrook Hall, Mount Kennedy Town Centre, Newtownmountkennedy","","Wicklow","€155,752.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"06/01/2011","6 Glenbrook Hall, Mount Kennedy Town Centre, Newtownmountkennedy","","Wicklow","€190,265.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"06/01/2011","7 Glenbrook Hall, Mount Kennedy Town Centre, Newtownmountkennedy","","Wicklow","€194,690.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"06/01/2011","9 Glenbrook Hall, Mount Kennedy Town Centre, Newtownmountkennedy","","Wicklow","€155,752.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"07/01/2011","43 Holywell Crescent, Sea Road, Kilcoole","","Wicklow","€235,780.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"10/01/2011","62  Blacklion Manor, Blacklion, Greystones","","Wicklow","€431,718.06","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"10/01/2011","Ardmore, Tinahely","","Wicklow","€220,000.00","No","Second-Hand Dwelling house /Apartment",""
"10/01/2011","Stone Cottage, Grangecon, Dunlavin","","Wicklow","€507,500.00","No","Second-Hand Dwelling house /Apartment",""
"11/01/2011","16 Wellington Court, Novara Avenue, Bray","","Wicklow","€336,000.00","No","Second-Hand Dwelling house /Apartment",""
"12/01/2011","58 Marlton Grove, Marlton Road, Wicklow Town","","Wicklow","€229,000.00","No","Second-Hand Dwelling house /Apartment",""
"14/01/2011","2 St Bridgets Park, Blacklion, Greystones","","Wicklow","€290,000.00","No","Second-Hand Dwelling house /Apartment",""
"14/01/2011","20 Ardmore Lawn, Bray","","Wicklow","€273,000.00","No","Second-Hand Dwelling house /Apartment",""
"14/01/2011","305 Bridgewater Quay, Bridgewater Centre, Arklow","","Wicklow","€171,806.17","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"14/01/2011","35 Killadreenan, Newtownmountkennedy","","Wicklow","€205,000.00","No","Second-Hand Dwelling house /Apartment",""
"14/01/2011","50 seacrest, bray","","Wicklow","€268,000.00","No","Second-Hand Dwelling house /Apartment",""
"14/01/2011","Munney, Coolkenno","","Wicklow","€100,000.00","No","Second-Hand Dwelling house /Apartment",""
"17/01/2011","45 William Street, Wexford","","Wicklow","€94,000.00","No","Second-Hand Dwelling house /Apartment",""
"17/01/2011","Glendale, Glaskenny, Enniskerry","","Wicklow","€350,000.00","No","Second-Hand Dwelling house /Apartment",""
"20/01/2011","19 Redord Park, Greystones","","Wicklow","€294,000.00","No","Second-Hand Dwelling house /Apartment",""
"20/01/2011","3 WOODLANDS GREEN, LAMBERTON, ARKLOW","","Wicklow","€135,000.00","No","Second-Hand Dwelling house /Apartment",""
"20/01/2011","33 St. Michaels Terrace, Arklow, Co. Wicklow","","Wicklow","€91,000.00","No","Second-Hand Dwelling house /Apartment",""
"20/01/2011","Apt 2  Tranquilla Mews, Greystones","","Wicklow","€202,000.00","No","Second-Hand Dwelling house /Apartment",""
"21/01/2011","105 Swanbrook, Southern Cross Road, Bray","","Wicklow","€335,000.00","No","Second-Hand Dwelling house /Apartment",""
"21/01/2011","27 The Way, Meadowvale, Arklow","","Wicklow","€171,805.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"21/01/2011","Apartment No. 3  The Elms, Diamond Valley, Upper Dargle Road  Bray","","Wicklow","€125,000.00","No","Second-Hand Dwelling house /Apartment",""
"21/01/2011","Old Boleys, Glencree, Enniskerry","","Wicklow","€1,000,000.00","No","Second-Hand Dwelling house /Apartment",""
"24/01/2011","1 johnstown Avenue, Kilpedder","","Wicklow","€455,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/01/2011","Enniscree Lodge, Enniskerry","","Wicklow","€610,400.00","No","Second-Hand Dwelling house /Apartment",""
"25/01/2011","Merginstown Glen, Dunlavin","","Wicklow","€145,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/01/2011","13 Connawood Way, Old Connaught Avenue, Bray","","Wicklow","€283,500.00","No","Second-Hand Dwelling house /Apartment",""
"28/01/2011","2 St. Kevins Cottage, Glencree, Enniskerry","","Wicklow","€330,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/01/2011","38 The Gallops, Ramsgate Village, Gorey","","Wicklow","€185,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/01/2011","7  Monkton Row, Wicklow","","Wicklow","€128,571.00","No","Second-Hand Dwelling house /Apartment",""
"28/01/2011","Scurlocksleap, Manor Kilbride, Blessington","","Wicklow","€175,000.00","No","Second-Hand Dwelling house /Apartment",""
