"Date of Sale (dd/mm/yyyy)","Address","Postal Code","County","Price (€)","Not Full Market Price","Description of Property","Property Size Description"
"01/01/2012","78 Dollymount Park, Clontarf, Dublin 3","Dublin 3","Dublin","€169,525.00","Yes","Second-Hand Dwelling house /Apartment",""
"02/01/2012","Apartment 24, Fortfield Court, Terenure","Dublin 6w","Dublin","€120,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"03/01/2012","12 Brookwood Crescent, Artane, Dublin 5","Dublin 5","Dublin","€90,000.00","No","Second-Hand Dwelling house /Apartment",""
"03/01/2012","182 Santry Close, Santry","","Dublin","€360,000.00","No","Second-Hand Dwelling house /Apartment",""
"03/01/2012","31 Glencairn Lawn, the gallops, sandyford","","Dublin","€255,000.00","No","Second-Hand Dwelling house /Apartment",""
"03/01/2012","55 Ashington Gardens, Navan Road","","Dublin","€255,000.00","No","Second-Hand Dwelling house /Apartment",""
"03/01/2012","No. 91 Grand Canal Residences, Grand Canal Harbour, Hanover Quay","Dublin 2","Dublin","€160,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/01/2012","16 Kinvara Avenue, Navan Road","Dublin 7","Dublin","€230,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/01/2012","32 cedarmount road, mount merrion","","Dublin","€401,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/01/2012","33 The Walk, Robswall, Malahide","","Dublin","€263,436.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/01/2012","36 Biscayne, Malahide","","Dublin","€505,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/01/2012","7 McKelvey Avenue, Finglas","Dublin 11","Dublin","€124,950.00","No","Second-Hand Dwelling house /Apartment",""
"05/01/2012","10 Goldsmith Street, Phibsborough","Dublin 7","Dublin","€185,000.00","No","Second-Hand Dwelling house /Apartment",""
"05/01/2012","10 Old Rectory Park, Dundrum, Dublin 14","","Dublin","€390,000.00","No","Second-Hand Dwelling house /Apartment",""
"05/01/2012","10 Sommerville Avenue, Crumlin","","Dublin","€172,500.00","No","Second-Hand Dwelling house /Apartment",""
"05/01/2012","11 Orby Avenue, The Gallops, Leopardstown","","Dublin","€241,409.69","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"05/01/2012","143 Carrigmore Crescent, Fortunestown lane, Saggart","","Dublin","€90,000.00","No","Second-Hand Dwelling house /Apartment",""
"05/01/2012","27 Cabra Park, Phibsboro","Dublin 11","Dublin","€105,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"05/01/2012","28 PARKVIEW, SWORDS MANOR, SWORDS","","Dublin","€187,000.00","No","Second-Hand Dwelling house /Apartment",""
"05/01/2012","3 St Mary's Avenue, Rathfarnham, Dublin 14","","Dublin","€205,000.00","No","Second-Hand Dwelling house /Apartment",""
"05/01/2012","31 (FORMERLY 36) Cabra Park, Phibsboro","Dublin 7","Dublin","€120,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"05/01/2012","46 Glencairn Crescent, The Gallops, Lepordstown","","Dublin","€330,000.00","No","Second-Hand Dwelling house /Apartment",""
"05/01/2012","46 The Paddocks Drive, Adamstown","","Dublin","€150,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
