"Date of Sale (dd/mm/yyyy)","Address","Postal Code","County","Price (€)","Not Full Market Price","Description of Property","Property Size Description"
"03/01/2012","Carrownea, Woodlawn, Ballinasloe","","Galway","€8,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"04/01/2012","139 Dun na Coiribe, Headford Road, Galway","","Galway","€245,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/01/2012","Ballinacor, Newbridge","","Galway","€32,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/01/2012","Uggool, Moycullen","","Galway","€120,000.00","No","Second-Hand Dwelling house /Apartment",""
"05/01/2012","15 Montrose House, Whitestrand Park","","Galway","€65,000.00","No","Second-Hand Dwelling house /Apartment",""
"05/01/2012","76 Clidfen Glen, Clifden","","Galway","€66,000.00","No","Second-Hand Dwelling house /Apartment",""
"05/01/2012","Derrartha Beag, Carraroe","","Galway","€50,000.00","No","Second-Hand Dwelling house /Apartment",""
"06/01/2012","151 An Sean Bhaile, Doughiska, Galway","","Galway","€95,000.00","No","Second-Hand Dwelling house /Apartment",""
"06/01/2012","Garra, Ballyglunin, Tuam","","Galway","€7,500.00","Yes","Second-Hand Dwelling house /Apartment",""
"06/01/2012","Melrose, 40  Dalysfort Road, Salthill","","Galway","€250,000.00","No","Second-Hand Dwelling house /Apartment",""
"09/01/2012","7 Leana na Cille, Killkerrin, Ballinasloe","","Galway","€100,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"09/01/2012","Corcullen House, Corcullen","","Galway","€260,000.00","No","Second-Hand Dwelling house /Apartment",""
"10/01/2012","18 Dun Eibhir, Furbo, Co. Galway","","Galway","€281,938.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"10/01/2012","Barnlodge, Toureen, Ballinderreen","","Galway","€135,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"10/01/2012","Castle Street, Dunmore","","Galway","€60,000.00","No","Second-Hand Dwelling house /Apartment",""
"10/01/2012","COLLEGE ROAD, MOUNTBELLEW","","Galway","€80,000.00","No","Second-Hand Dwelling house /Apartment",""
"10/01/2012","Pollyanster, Williamstown","","Galway","€95,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/01/2012","2 Gort na Ri, Athenry","","Galway","€186,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/01/2012","Kilcorkan House, Gort","","Galway","€162,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"12/01/2012","42 Durabhan, Roscam, Galway","","Galway","€104,500.00","Yes","Second-Hand Dwelling house /Apartment",""
"12/01/2012","Kiltulla, Carnmore, Oranmore","","Galway","€275,000.00","No","Second-Hand Dwelling house /Apartment",""
"12/01/2012","Lackagh, Turloughmore","","Galway","€164,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"12/01/2012","Maherabeg, Oughterard","","Galway","€140,000.00","No","Second-Hand Dwelling house /Apartment",""
"12/01/2012","Teach Mor, Inverin, Co. Galway","","Galway","€285,000.00","No","Second-Hand Dwelling house /Apartment",""
"13/01/2012","116 Cartur Mor, Clybaun Road, Galway","","Galway","€160,000.00","No","Second-Hand Dwelling house /Apartment",""
"13/01/2012","13 Barry Avenue, Mervue","","Galway","€100,000.00","No","Second-Hand Dwelling house /Apartment",""
"13/01/2012","GROUND FLOOR APARTMENT, 1 FIUNTUS, WELLPARK","","Galway","€200,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"13/01/2012","Raheen, Loughrea, County Galway","","Galway","€125,000.00","No","Second-Hand Dwelling house /Apartment",""
"17/01/2012","41 Cartur Mor, Clybaun Road","","Galway","€160,000.00","No","Second-Hand Dwelling house /Apartment",""
"18/01/2012","Mountscribe, Kinvara","","Galway","€325,000.00","No","Second-Hand Dwelling house /Apartment",""
"20/01/2012","10 Cul na Gaoithe, Cuilean, Carraroe","","Galway","€123,000.00","No","Second-Hand Dwelling house /Apartment",""
"20/01/2012","145 COSTA NA MARA, Oranmore","","Galway","€195,000.00","No","Second-Hand Dwelling house /Apartment",""
"20/01/2012","63 TUDOR LAWNS, NEWCASTLE, GALWAY","","Galway","€199,000.00","No","Second-Hand Dwelling house /Apartment",""
"20/01/2012","9 Glenanail Drive, Ballybane","","Galway","€135,000.00","No","Second-Hand Dwelling house /Apartment",""
"20/01/2012","Moyard, Galway","","Galway","€85,000.00","No","Second-Hand Dwelling house /Apartment",""
"20/01/2012","No. 1 Liam Mellowes Park, Renmore, Galway","","Galway","€150,000.00","No","Second-Hand Dwelling house /Apartment",""
"21/01/2012","13 The Orchard, Gort","","Galway","€80,000.00","No","Second-Hand Dwelling house /Apartment",""
"23/01/2012","14 DUIRLING, ROSCAM, GALWAY","","Galway","€140,000.00","No","Second-Hand Dwelling house /Apartment",""
"23/01/2012","19 The Waterfront, Bridge Street","","Galway","€101,000.00","No","Second-Hand Dwelling house /Apartment",""
"24/01/2012","138 Seacrest, Knocknacarra, Galway","","Galway","€255,000.00","No","Second-Hand Dwelling house /Apartment",""
"24/01/2012","4 Belmont, Renmore, Galway","","Galway","€175,000.00","No","Second-Hand Dwelling house /Apartment",""
"24/01/2012","LYIDICAN, ORANMORE, CO. GALWAY","","Galway","€142,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/01/2012","10  The Dales, Moylough","","Galway","€99,500.00","No","Second-Hand Dwelling house /Apartment",""
