"Date of Sale (dd/mm/yyyy)","Address","Postal Code","County","Price (€)","Not Full Market Price","Description of Property","Property Size Description"
"04/01/2012","58 SILVERBROOK, MILL ROAD, CORBALLY","","Limerick","€181,140.00","No","Second-Hand Dwelling house /Apartment",""
"04/01/2012","71 Kylemore, Old Schoolhouse Road, Monaleen  Castletroy","","Limerick","€220,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/01/2012","Rathcahill, Monagea","","Limerick","€162,500.00","No","Second-Hand Dwelling house /Apartment",""
"04/01/2012","Stormount House, Castleconnell","","Limerick","€900,000.00","No","Second-Hand Dwelling house /Apartment",""
"05/01/2012","55 Ballykeeffe Estate, Limerick","","Limerick","€100,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"05/01/2012","Avondale, Roxboro Road, Limerick","","Limerick","€85,000.00","No","Second-Hand Dwelling house /Apartment",""
"06/01/2012","91 Old Windmill Court, Lower Gerald Griffin Street, Limerick","","Limerick","€85,000.00","No","Second-Hand Dwelling house /Apartment",""
"06/01/2012","Devon Road, Templeglantine","","Limerick","€110,000.00","No","Second-Hand Dwelling house /Apartment",""
"10/01/2012","14 Cluain Mhuire, Pallaskenry","","Limerick","€100,000.00","No","Second-Hand Dwelling house /Apartment",""
"10/01/2012","Ardagh Village, Ardagh","","Limerick","€68,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/01/2012","5 Smyth's Lane, Cathedral Place","","Limerick","€60,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/01/2012","Dronmtrasna, Abbeyfeale","","Limerick","€50,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/01/2012","West End, Kilfinane","","Limerick","€40,000.00","No","Second-Hand Dwelling house /Apartment",""
"12/01/2012","102 Cluain Arra, Gortboy, Newcastle West","","Limerick","€75,500.00","Yes","Second-Hand Dwelling house /Apartment",""
"12/01/2012","48  Greenview Close, Glencairin, Dooradoyle","","Limerick","€176,000.00","No","Second-Hand Dwelling house /Apartment",""
"13/01/2012","2 Carrabullawn, Lower Park, Corbally","","Limerick","€255,000.00","No","Second-Hand Dwelling house /Apartment",""
"13/01/2012","4 VANDERALEUR MEWS, ENNIS ROAD","","Limerick","€109,286.00","No","New Dwelling house /Apartment","less than 38 sq metres"
"13/01/2012","5 The Grove, Dooradoyle Road, Limerick","","Limerick","€138,000.00","No","Second-Hand Dwelling house /Apartment",""
"16/01/2012","4 Glenma, croom","","Limerick","€20,000.00","No","Second-Hand Dwelling house /Apartment",""
"16/01/2012","46 Assumpta Park, Newcastle West","","Limerick","€75,000.00","No","Second-Hand Dwelling house /Apartment",""
"17/01/2012","11 Sli Na Malaoise, Rathkeale","","Limerick","€65,400.00","Yes","Second-Hand Dwelling house /Apartment",""
"19/01/2012","19 Scanlan Park, Castleconnell","","Limerick","€36,100.00","Yes","Second-Hand Dwelling house /Apartment",""
"19/01/2012","9 Dun an Oir, Milford Grange, Castletroy","","Limerick","€110,000.00","No","Second-Hand Dwelling house /Apartment",""
"20/01/2012","109 carrowkeel, castletroy","","Limerick","€132,158.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"20/01/2012","3 Cois Abhainn, Lower Park, Corbally  Limerick","","Limerick","€285,000.00","No","Second-Hand Dwelling house /Apartment",""
"20/01/2012","9 Cois hAbhainn, Lower Park, Corbally","","Limerick","€265,000.00","No","Second-Hand Dwelling house /Apartment",""
"23/01/2012","Coolaleen, Broadford","","Limerick","€25,000.00","No","Second-Hand Dwelling house /Apartment",""
"23/01/2012","The Mews, Off Ballinacurra Road, Limerick","","Limerick","€264,000.00","No","Second-Hand Dwelling house /Apartment",""
"24/01/2012","6 Cul Crannagh, Dooradoyle","","Limerick","€180,000.00","No","Second-Hand Dwelling house /Apartment",""
