"Date of Sale (dd/mm/yyyy)","Address","Postal Code","County","Price (€)","Not Full Market Price","Description of Property","Property Size Description"
"03/01/2012","426 Millbrook, Riverside","","Sligo","€100,000.00","No","Second-Hand Dwelling house /Apartment",""
"03/01/2012","Corhownagh, Ballisodare","","Sligo","€117,500.00","No","Second-Hand Dwelling house /Apartment",""
"05/01/2012","Doonfore, Ballinful","","Sligo","€90,000.00","No","Second-Hand Dwelling house /Apartment",""
"09/01/2012","18  Ceol na Mara, Cliffoney","","Sligo","€125,000.00","No","Second-Hand Dwelling house /Apartment",""
"09/01/2012","2 glencarrig, Ballinode, Sligo","","Sligo","€147,000.00","No","Second-Hand Dwelling house /Apartment",""
"10/01/2012","28 Heatherview, Sligo","","Sligo","€136,000.00","No","Second-Hand Dwelling house /Apartment",""
"10/01/2012","7 Carrowhubbock, Enniscrone","","Sligo","€90,000.00","No","Second-Hand Dwelling house /Apartment",""
"10/01/2012","Lavagh, Ballymote","","Sligo","€63,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/01/2012","38 Rathbraughan Park, Ballytivnan","","Sligo","€74,000.00","No","Second-Hand Dwelling house /Apartment",""
"12/01/2012","Brookfield, Dunally","","Sligo","€162,000.00","No","Second-Hand Dwelling house /Apartment",""
"12/01/2012","Sea View, Ballyweelin, Rosses Point","","Sligo","€357,500.00","No","Second-Hand Dwelling house /Apartment",""
"12/01/2012","Woodfield, Ballymote","","Sligo","€36,000.00","No","Second-Hand Dwelling house /Apartment",""
"17/01/2012","Carrowcur, Dromore West","","Sligo","€87,500.00","No","Second-Hand Dwelling house /Apartment",""
"18/01/2012","Cloonaine, Coolaney","","Sligo","€97,000.00","No","Second-Hand Dwelling house /Apartment",""
"20/01/2012","Lisconny, Riverstown, Co Sligo","","Sligo","€75,000.00","No","Second-Hand Dwelling house /Apartment",""
"20/01/2012","Mullaghnabreena, Achonry","","Sligo","€75,000.00","No","Second-Hand Dwelling house /Apartment",""
"26/01/2012","Cloonagh, Ballinful","","Sligo","€70,000.00","No","Second-Hand Dwelling house /Apartment",""
"30/01/2012","13 Marren Park, Ballymote","","Sligo","€35,000.00","No","Second-Hand Dwelling house /Apartment",""
"30/01/2012","16 Steeple View, Collooney","","Sligo","€170,000.00","No","Second-Hand Dwelling house /Apartment",""
"31/01/2012","2 The Weighbridge, Mail Coach Road, Sligo","","Sligo","€66,000.00","No","Second-Hand Dwelling house /Apartment",""
"02/02/2012","Ballymurray, Ballinacarrow, Ballymote","","Sligo","€165,000.00","No","Second-Hand Dwelling house /Apartment",""
"03/02/2012","76 Cornmill Park, Ballymote","","Sligo","€59,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"06/02/2012","7 Ashwoods, Geevagh","","Sligo","€80,432.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"09/02/2012","16 Cairns Drive, Sligo","","Sligo","€67,500.00","No","Second-Hand Dwelling house /Apartment",""
"09/02/2012","49 Crozon Downs, Sligo","","Sligo","€133,000.00","No","Second-Hand Dwelling house /Apartment",""
"10/02/2012","7 Marella, Enniscrone, Co Sligo","","Sligo","€93,000.00","No","Second-Hand Dwelling house /Apartment",""
"10/02/2012","9 Marella, Enniscrone","","Sligo","€89,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"10/02/2012","Hawksmoor House, First Sea Road, Sligo","","Sligo","€250,000.00","No","Second-Hand Dwelling house /Apartment",""
"13/02/2012","19 Ocean Links, Strandhill","","Sligo","€210,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"15/02/2012","9 The Cloisters, Abbey Street, Sligo","","Sligo","€55,000.00","No","Second-Hand Dwelling house /Apartment",""
"15/02/2012","Carney, Sligo","","Sligo","€90,000.00","No","Second-Hand Dwelling house /Apartment",""
"15/02/2012","Kiltycahill, Hazelwood","","Sligo","€125,000.00","No","Second-Hand Dwelling house /Apartment",""
"17/02/2012","Carrowcreagh, Dromard, County Sligo","","Sligo","€40,000.00","No","Second-Hand Dwelling house /Apartment",""
"22/02/2012","BOYLE ROAD, GURTEEN","","Sligo","€35,000.00","No","Second-Hand Dwelling house /Apartment",""
