"Date of Sale (dd/mm/yyyy)","Address","Postal Code","County","Price (€)","Not Full Market Price","Description of Property","Property Size Description"
"05/01/2012","2 Belfield Court, Martins Lane, Mullingar","","Westmeath","€40,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"05/01/2012","87 Auburn Heights, Athlone","","Westmeath","€109,000.00","No","Second-Hand Dwelling house /Apartment",""
"05/01/2012","9 Old Springfield, Mullingar","","Westmeath","€30,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"05/01/2012","Apt 5 Central Park, Bishopsgate Gate Street, Mullingar","","Westmeath","€45,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"05/01/2012","Apt 8 Central part, Bishopsgate Street, Mullingar","","Westmeath","€45,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"05/01/2012","Apt 8 The Courtyard, Mount Street, Mullingar","","Westmeath","€35,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"05/01/2012","Rathwire Lower, Killucan","","Westmeath","€70,000.00","No","Second-Hand Dwelling house /Apartment",""
"06/01/2012","95 Ardilaun Heights, Mullingar","","Westmeath","€72,000.00","No","Second-Hand Dwelling house /Apartment",""
"16/01/2012","94 95 97 99 Royal Canal, Ardmore Road, Ballinderry Mullingar","","Westmeath","€200,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"16/01/2012","Units 100 to 107 Block F, Royal Canal  Ardmore Road, Ballinderry  Mullingar","","Westmeath","€400,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"17/01/2012","Syonan, Streamstown","","Westmeath","€85,000.00","No","Second-Hand Dwelling house /Apartment",""
"19/01/2012","Miltown, Dysart, Mullingar","","Westmeath","€250,000.00","No","Second-Hand Dwelling house /Apartment",""
"23/01/2012","Sienna Villa, Baylough, Athlone","","Westmeath","€110,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/01/2012","49 Cluain Craoibh, Kinnegad, Westmeath","","Westmeath","€70,000.00","No","Second-Hand Dwelling house /Apartment",""
"26/01/2012","170 Dalton Park, Mullingar","","Westmeath","€30,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"27/01/2012","30 Greenfield Heights, Rathwire, Killucan","","Westmeath","€95,000.00","No","Second-Hand Dwelling house /Apartment",""
"02/02/2012","19 Auburn Village, Mullingar","","Westmeath","€125,000.00","No","Second-Hand Dwelling house /Apartment",""
"02/02/2012","Kilkenny West, Glasson, Athlone","","Westmeath","€140,000.00","No","Second-Hand Dwelling house /Apartment",""
"02/02/2012","Rathnamuddagh, Dysart, Mullingar","","Westmeath","€140,000.00","No","Second-Hand Dwelling house /Apartment",""
"03/02/2012","105 The Orchard, Blyry Lower, Athlone","","Westmeath","€102,502.50","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"06/02/2012","42 BROOKFIELD, MULLINGAR","","Westmeath","€125,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/02/2012","3 Retreat Heights, Athlone","","Westmeath","€95,000.00","No","Second-Hand Dwelling house /Apartment",""
"08/02/2012","103 Raithin, Ashe Road, Mullingar","","Westmeath","€120,000.00","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"10/02/2012","7 Retreat Ridge, Athlone","","Westmeath","€182,500.00","No","Second-Hand Dwelling house /Apartment",""
"10/02/2012","Apartment 12 Clos An Blinn, Main Street, Kinnegad","","Westmeath","€103,999.26","No","Second-Hand Dwelling house /Apartment",""
"20/02/2012","32 Coill Rua, Mullingar","","Westmeath","€90,884.00","Yes","Second-Hand Dwelling house /Apartment",""
"20/02/2012","Cornamagh, Athlone, Co. Westmeath","","Westmeath","€190,000.00","No","Second-Hand Dwelling house /Apartment",""
"22/02/2012","33 The Gables, Lakepoint Park, Mullingar","","Westmeath","€70,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"22/02/2012","Clonyveey, Rathconrath","","Westmeath","€50,000.00","No","Second-Hand Dwelling house /Apartment",""
"23/02/2012","52 MOUNT STREET, MULLINGAR","","Westmeath","€250,000.00","No","Second-Hand Dwelling house /Apartment",""
"23/02/2012","APARTMENT 2, BELLEVUE COURT, MULLINGAR","","Westmeath","€100,000.00","No","Second-Hand Dwelling house /Apartment",""
"23/02/2012","Riverstown, Killucan","","Westmeath","€175,000.00","No","Second-Hand Dwelling house /Apartment",""
"24/02/2012","38 Ardilaun Green, Mullingar","","Westmeath","€88,000.00","No","Second-Hand Dwelling house /Apartment",""
"24/02/2012","Clonbrusk, Ballymahon Road, Athlone","","Westmeath","€125,000.00","No","Second-Hand Dwelling house /Apartment",""
"27/02/2012","24 Abbeybrook Garden, Kilbeggasn","","Westmeath","€50,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"28/02/2012","2 The Close, Lakepoint Park, Mullingar","","Westmeath","€105,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/02/2012","24 Thornberry Drive, Athlone","","Westmeath","€13,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/02/2012","28 Alverno Drive, Athlone","","Westmeath","€13,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/02/2012","58 Willow Park Place, Athlone","","Westmeath","€17,500.00","No","Second-Hand Dwelling house /Apartment",""
"28/02/2012","62 Thornberry Drive, Athlone","","Westmeath","€13,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/02/2012","63 Thornberry Drive, Athlone","","Westmeath","€13,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/02/2012","64 Thornberry Drive, Athlone","","Westmeath","€13,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/02/2012","70 Old Willow Park, Athlone","","Westmeath","€17,500.00","No","Second-Hand Dwelling house /Apartment",""
"28/02/2012","85 Thornberry Drive, Athlone","","Westmeath","€13,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/02/2012","86 Thornberry Drive, Athlone","","Westmeath","€9,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/02/2012","89 Thornberry Drive, Athlone","","Westmeath","€13,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/02/2012","90 Thornberry Drive, Athlone","","Westmeath","€13,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/02/2012","Crossanstown, Coralstown, Mullingar","","Westmeath","€220,000.00","No","Second-Hand Dwelling house /Apartment",""
"01/03/2012","51 Brookfield, Mullingar","","Westmeath","€126,000.00","No","Second-Hand Dwelling house /Apartment",""
"01/03/2012","Ballycumber Road, Moate","","Westmeath","€110,000.00","No","Second-Hand Dwelling house /Apartment",""
"02/03/2012","Apartment 11, Tailteann Court, Mullingar","","Westmeath","€65,418.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"02/03/2012","Apartment 12 Tailteann Court, Mullingar","","Westmeath","€62,801.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"02/03/2012","Apartment 6 Tailteann Court, Mullingar","","Westmeath","€65,418.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"02/03/2012","Apartment 7 Tailteann Court, Mullingar","","Westmeath","€65,418.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"05/03/2012","15 Bloomfield Drive, Athlone","","Westmeath","€150,000.00","No","Second-Hand Dwelling house /Apartment",""
"05/03/2012","4 Roslevin Court, Ballymahon Road, Athlone","","Westmeath","€85,000.00","No","Second-Hand Dwelling house /Apartment",""
"06/03/2012","29 Marlinstown Park, Mullingar","","Westmeath","€45,000.00","No","Second-Hand Dwelling house /Apartment",""
"06/03/2012","Hightown, Coralstown, Kinnegad","","Westmeath","€80,000.00","No","Second-Hand Dwelling house /Apartment",""
"09/03/2012","25 Coinn Tors, Castlepollaard","","Westmeath","€80,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"09/03/2012","Lands at Cloncullen, Lands at Toorevagh","","Westmeath","€60,000.00","No","Second-Hand Dwelling house /Apartment",""
"09/03/2012","Martinstown, Crookedwood, Mullingar","","Westmeath","€100,000.00","No","Second-Hand Dwelling house /Apartment",""
"09/03/2012","Rathconnell, Mullingar","","Westmeath","€265,000.00","No","Second-Hand Dwelling house /Apartment",""
"13/03/2012","15 Ivy Court, Killucan","","Westmeath","€127,753.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"13/03/2012","40 Abbeybrook Garden, Kilbeggan","","Westmeath","€50,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"15/03/2012","Baylin, Athlone","","Westmeath","€220,000.00","No","Second-Hand Dwelling house /Apartment",""
"16/03/2012","46 The Green, Lakepoint, Mullingar","","Westmeath","€91,000.00","No","Second-Hand Dwelling house /Apartment",""
"16/03/2012","6 O'Connell Terrace, Mullingar","","Westmeath","€51,000.00","No","Second-Hand Dwelling house /Apartment",""
"16/03/2012","Ballinacurra, Moyvore","","Westmeath","€35,000.00","No","Second-Hand Dwelling house /Apartment",""
"16/03/2012","Portaneena, Kilkenny West  Glasson, Athlone","","Westmeath","€120,000.00","No","Second-Hand Dwelling house /Apartment",""
"20/03/2012","19 Colllege Vale, Mullingar","","Westmeath","€122,000.00","No","Second-Hand Dwelling house /Apartment",""
"20/03/2012","70 Jolly Mariner  Marina Village, Brick Island  Coosan, Athlone","","Westmeath","€101,322.00","No","New Dwelling house /Apartment","less than 38 sq metres"
"20/03/2012","Bellfield, Gaybrook, Mullingar","","Westmeath","€105,000.00","No","Second-Hand Dwelling house /Apartment",""
"21/03/2012","127 College Hill, Mullingar","","Westmeath","€128,000.00","No","Second-Hand Dwelling house /Apartment",""
